name,NE_name,r,x,b,length,Comment,geometry,bus0,bus1,EIC_Code,TSO,CORE-TSO_bus0,CORE-TSO_bus1,v_nom,Maximum Current Imax (A) Period 1,Maximum Current Imax (A) Period 2,Maximum Current Imax (A) Period 3,Maximum Current Imax (A) Period 4,Maximum Current Imax (A) Period 5,Maximum Current Imax (A) Period 6,Maximum Current Imax (A) Fixed,Dynamic line rating (DLR) DLRmin(A),Dynamic line rating (DLR) DLRmax(A),s_nom,tie_line
1484,LIT 225kV N0 1 BEAUTOR (POSTE)-LONG-CHAMP (LE),4.258,20.966,0.000145752,0.7,,"LINESTRING (3.3267038550789256 49.65394243421605, 3.4779868198839163 49.34318894860307)",146534501,180569105,17T0000000190216,RTE,BEAUTOR (POSTE),LONG-CHAMP (LE),220,731.0,835.0,835.0,930.0,,,,,,204.6,False
1485,LIT 225kV N0 1 BEAUTOR (POSTE)-SETIER,1.916,8.609,5.979e-05,32.825,,"LINESTRING (3.3267038550789256 49.65394243421605, 3.345994851015576 49.843060656824456)",146534501,98945703,17T000000019063R,RTE,BEAUTOR (POSTE),SETIER,220,899.0,984.0,984.0,1061.0,,,,,,233.42,False
1486,LIT 225kV N0 1 BELLE-DE-MAI-ENCO-DE-BOTTE,0.266,1.759,0.000593226,63.891,,"LINESTRING (5.3884416537990445 43.31047523777598, 5.480837385421024 43.32087643224695)",733773994,118213015,17T000000016905K,RTE,BELLE-DE-MAI,ENCO-DE-BOTTE,220,610.0,610.0,705.0,705.0,,,,,,155.1,False
1487,LIT 225kV N0 1 BELLE-EPINE - DOMLOUP,1.018,6.863,0.00015106,7.202,,"LINESTRING (-1.7537484764623046 48.12830163968848, -1.5561146152403968 48.09291698283421)",147394006,85995894T,17T000000016830P,RTE,BELLE-EPINE,DOMLOUP,220,934.0,934.0,1154.0,1154.0,,,,,,253.88,False
1488,LIT 225kV N0 1 BELLE-EPINE-RANCE-POSTE,6.323,28.584,0.000198168,16.184,,"LINESTRING (-1.7537484764623046 48.12830163968848, -2.029340599999982 48.61720050000005)",147394006,5494329192,17T000000016831N,RTE,BELLE-EPINE,RANCE-POSTE,220,795.0,864.0,864.0,931.0,,,,,,204.82,False
1489,LIT 225kV N0 1 BERGE - CANTEGRIT,1.22,7.945,5.783e-05,3.185,,"LINESTRING (-0.872100216630302 43.83635741101045, -0.8874731635478703 44.01307996889373)",152778326,111458307T,17T000000017634K,RTE,BERGE,CANTEGRIT,220,915.0,985.0,985.0,1060.0,,,,,,233.2,False
1490,LIT 225kV N0 1 BERGE - MARSILLON,3.479,22.666,0.00016494800000000002,57.047,,"LINESTRING (-0.872100216630302 43.83635741101045, -0.595459522044191 43.38588681989828)",152778326,111414142T,17T000000017635I,RTE,BERGE,MARSILLON,220,915.0,985.0,985.0,1060.0,,,,,,233.2,False
1491,LIT 225kV N0 1 BERGHOLZ-MARLENHEIM,0.767,11.003,0.00017240000000000002,41.359,,"LINESTRING (7.089421714575923 48.76722890019341, 7.526452002189226 48.61184902188622)",193292042,118086309T,17T000000017663D,RTE,BERGHOLZ,MARLENHEIM,220,2200.0,2281.0,2281.0,2281.0,,,,,,501.82,False
1492,LIT 225kV N0 1 BEZAUMONT-CROIX-DE-METZ,1.571,10.705,7.8806e-05,27.115,,"LINESTRING (6.097581672005587 48.857283878401695, 5.916374424488254 48.69208295129438)",81665271T,120861987,17T000000017787W,RTE,BEZAUMONT,CROIX-DE-METZ,220,1172.0,1285.0,1285.0,1388.0,,,,,,305.36,False
1493,LIT 225kV N0 1 BEZAUMONT-CUSTINE,0.761,5.07,3.664e-05,12.619,,"LINESTRING (6.097581672005587 48.857283878401695, 6.1386194169790125 48.76544892924604)",81665271T,252139969,17T000000017788U,RTE,BEZAUMONT,CUSTINE,220,1172.0,1285.0,1285.0,1388.0,,,,,,305.36,False
1494,LIT 225kV N0 1 BEZAUMONT-VANDIERES,0.819,5.445,3.9456e-05,13.646,,"LINESTRING (6.097581672005587 48.857283878401695, 6.022081281632252 48.95083450859975)",81665271T,147398279,17T000000017789S,RTE,BEZAUMONT,VANDIERES,220,1172.0,1285.0,1285.0,1388.0,,,,,,305.36,False
1495,LIT 225KV N0 1 BEZIERS-EST - ST-VINCENT,0.259,0.761,0.000229032,4.443,,"LINESTRING (3.2597979801031456 43.35194900700593, 3.218877620191049 43.36881814347299)",986793950,113338234,17T0000000177574,RTE,BEZIERS-EST,ST-VINCENT,220,419.0,419.0,419.0,567.0,,,,,,124.74,False
1496,LIT 225kV N0 1 BEZON-PONTCHATEAU,6.782,35.208,0.000248736,86.496,,"LINESTRING (-2.417120757668188 47.906660209939886, -2.0998679550056045 47.43200471252785)",146360239,118133898,17T000000017825D,RTE,BEZON,PONTCHATEAU,220,846.0,928.0,928.0,1005.0,,,,,,221.1,False
1497,LIT 225kV N0 1 BEZON-POTEAU ROUGE,6.829,35.619,0.00025149199999999997,88.449,,"LINESTRING (-2.417120757668188 47.906660209939886, -3.3117163915584817 47.82518493411139)",146360239,146360244,17T000000017824F,RTE,BEZON,POTEAU-ROUGE,220,983.0,1022.0,1022.0,1059.0,,,,,,232.98,False
1498,LIT 225kV N0 1 BIANCON - FREJUS,0.402,4.098,0.00225,24.588,,"LINESTRING (6.835855694028623 43.595072658284906, 6.732626550217384 43.43742045805093)",121500497T,416438054,17T000000017831I,RTE,BIANCON,FREJUS,220,1100.0,1100.0,1600.0,1600.0,,,,,,352.0,False
1499,LIT 225kV N0 1 BIANCON-MOUGINS,0.987,5.296,0.00064886,18.456,,"LINESTRING (6.835855694028623 43.595072658284906, 7.007809339400556 43.58412441549424)",121500497T,139593701,17T000000017832G,RTE,BIANCON,MOUGINS,220,1000.0,1000.0,1160.0,1185.0,,,,,,260.7,False
1500,LIT 225kV N0 1 BIANCON-PLAN-DE-GRASSE,0.705,5.149,0.000527966,17.853,,"LINESTRING (6.835855694028623 43.595072658284906, 6.940222062382811 43.65568600461651)",121500497T,69332224,17T000000017833E,RTE,BIANCON,PLAN-DE-GRASSE,220,1062.0,1160.0,1160.0,1238.0,,,,,,272.36,False
1501,LIT 225kV N0 1 BISSY-GRANDE-ILE,1.63,7.68,0.000106696,18.962,,"LINESTRING (5.900736782330928 45.59025633230847, 6.028007762136348 45.47076424063745)",56585982,84182609T,17T000000017920J,RTE,BISSY,GRANDE-ILE,220,566.0,672.0,672.0,764.0,,,,,,168.08,False
1502,LIT 225kV N0 1 BLOCAUX - LIMEUX (400 kV),0.72,5.423,0.00188902,29.137,,"LINESTRING (1.783408677678461 49.77200292324295, 1.8284427499373328 50.01096244619189)",167268705,580568888T,17T0000000180245,RTE,BLOCAUX,LIMEUX,220,967.0,967.0,1218.0,1218.0,,,,,,267.96,False
1503,LIT 225kV N0 1 BOISSE (LA) - CUSSET-POSTE,0.66,4.98,7.4e-05,12.613,,"LINESTRING (5.023123495057105 45.838444542938426, 4.9162760910434615 45.76496614431111)",24025291T,114254761,17T0000000181055,RTE,BOISSE (LA),CUSSET-POSTE,220,857.0,857.0,1024.0,1024.0,,,,,,225.28,False
