name,Full Name,EIC_Code,TSO,Maximum Current Imax (A) primary Min,Maximum Current Imax (A) primary Max,Maximum Current Imax (A) primary Fixed,Voltage_level(kV) Primary,Voltage_level(kV) Secondary,r,x,b,g,Taps used for RAO,Theta θ (°),Symmetrical/Asymmetrical,Phase Regulation δu (%),Angle Regulation δu (%),Comment,geometry,bus0,s_nom,bus1
42,TR Niederrhein,11T0-0000-0754-Z,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,60.0,,,1.385,,POINT (6.680796263733606 51.64632880193464),24462426,769.6,24462426T
480,TR/ 380-220kV / Buers / Trafo 31,11T0-0000-0091-Q,TRANSNETBW,,,879.0,220.0,380.0,0.0016501189368083567,0.1387992553521564,-1824.898053,455.11983,,0.0,Symmetrical,1.154,,,POINT (9.81074666568887 47.14278088986921),101997887,193.38,101997887T
481,TR / 380-220kV / Buers / Trafo 32,11T0-0000-0092-N,TRANSNETBW,,,879.0,220.0,380.0,0.0016413279553211294,0.13911469645258043,-2101.924572,449.627838,,0.0,Symmetrical,1.154,,,POINT (9.81074666568887 47.14278088986921),101997887,193.38,101997887T
482,TR / 380-220kV / Buers / Trafo 33,11T0-0000-0093-K,TRANSNETBW,,,879.0,220.0,380.0,0.0019205708966801118,0.13598097011066293,-1348.3497852,445.972956,,0.0,Symmetrical,1.154,,,POINT (9.81074666568887 47.14278088986921),101997887,193.38,101997887T
483,TR / 380-220kV / Buers / Trafo 34,11T0-0000-0094-H,TRANSNETBW,,,879.0,220.0,380.0,0.0019852104664391354,0.13543282655910643,-1500.7293576,380.18507999999997,,0.0,Symmetrical,1.154,,,POINT (9.81074666568887 47.14278088986921),101997887,193.38,101997887T
490,PST / 380-220kV / Buers / Trafo 37,11T0-0000-0082-R,TRANSNETBW,,,1106.0,380.0,220.0,0.0005113257828114591,0.04595745693347293,-4713.356143999999,1450.512364,-17;17,90.0,Asymmetrical,1.14,1.794,Connected in substation Bürs,POINT (9.81074666568887 47.14278088986921),101997887,420.28,101997887T
51,TR Sechtem,11T0-0000-0847-P,Amprion GmbH,,1795.0,,230.0,400.0,0.0004263049533728957,0.038866416373985704,-1486.2600000000002,1775.255,,,,1.231,,,POINT (6.972576332889148 50.7956266225729),22766160,412.85,22766160T
58,TR Voehringen,11T0-0000-0884-I,Amprion GmbH,,1924.0,,400.0,231.0,0.0003014553014553015,0.030932952182952184,-2308.8,692.64,,-60.0,,,1.389,,POINT (10.082130359178691 48.26603782164332),85523877,769.6,85523877T
491,TR / 380-220kV / Pulverdingen / Trafo 323,11TD400000144-TQ,TRANSNETBW,,,1506.0,220.0,380.0,0.000555263793311602,0.03086442110346493,-692.12748,635.074176,,0.0,Symmetrical,1.231,,,POINT (9.04543545075586 48.90296099705397),43688805,331.32,43688805T
29,TR Buescherhof,11T0-0000-0575-Y,Amprion GmbH,,1924.0,,240.0,400.0,0.0004894317394317395,0.038461538461538464,-7526.688,2539.68,,,,1.231,,,POINT (6.926758989258959 51.499205696677926),24921206,461.76,24921206T
43,TR Niederstedem,11T0-0000-0759-K,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,-60.0,,,1.385,,POINT (6.475062982714621 49.92260878546526),151967290,769.6,151967290T
44,TR Niederstedem,11T0-0000-0758-N,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,-60.0,,,1.385,,POINT (6.475062982714621 49.92260878546526),151967290,769.6,151967290T
45,TR Niederstedem,11T0-0000-0760-6,Amprion GmbH,,1155.0,,400.0,231.0,0.0009935064935064936,0.09778354978354979,-739.2,231.0,,-60.0,,,0.689,,POINT (6.475062982714621 49.92260878546526),151967290,462.0,151967290T
56,TR Utfort,11T0-0000-0879-7,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,60.0,,,1.385,,POINT (6.6171994130110185 51.47583728111108),23380800,769.6,23380800T
57,TR Utfort,11T0-0000-0878-A,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,60.0,,,1.385,,POINT (6.6171994130110185 51.47583728111108),23380800,769.6,23380800T
60,TR Wehrendorf,11T0-0000-0893-H,Amprion GmbH,,1924.0,,400.0,231.0,0.0004300935550935551,0.032224532224532226,-5310.240000000001,1462.24,,60.0,,,1.385,,POINT (8.307757038447654 52.34563570305741),33411203,769.6,33411203T
39,TR Hattingen,11T0-0000-0646-1,Amprion GmbH,,2008.0,,230.0,400.0,0.0005088342283041746,0.03607742941278365,-17226.631999999998,1570.2559999999999,,,,1.257,,,POINT (7.167956726297322 51.38931989154416),63114179,461.84,63114179T
26,TR Brauweiler,11T0-0000-1249-6,Amprion GmbH,,2008.0,,230.0,400.0,0.00038108435821929674,0.03474363415901611,-1662.624,1985.9119999999998,,,,1.231,,,POINT (6.804550264468823 50.96624767849503),23084554,461.84,23084554T
T_31,,,TENNETGMBH,,,,,,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,,,Added for coherence. Not in the data.,POINT (8.063696600882086 53.55580201127509),637595524,2145.088,637595524T
474,TR Sottrum T421,11TD2T000000180M,TENNETGMBH,,,649.0,380.0,220.0,0.0019706430946395265,0.18986294704403534,-141.31325999999999,122.81676,,,,1.111,,,POINT (9.25043491144298 53.1149993151395),955268863,246.62,955268863T
473,TR Siems T421,11TD2T000000172L,TENNETGMBH,,,559.0,380.0,220.0,0.005046605780999906,0.4069249599849355,-157.40321999999998,137.64816,,,,1.231,,,POINT (10.76083532726635 53.90974536547812),1102237380,212.42,1102237380T
464,TR Landesbergen T422,11TD2T000000116V,TENNETGMBH,,,974.0,380.0,220.0,0.0017778017940127528,0.1347184696855074,-2973.1739599999996,696.19572,,,,1.385,,,POINT (9.125265746125375 52.53826407510022),27739871,370.12,27739871T
465,TR Landesbergen T423,11TD2T000000117T,TENNETGMBH,,,524.0,380.0,220.0,0.005549417436721575,0.32867115307352346,-1008.94104,349.65472,,,,2.022,,,POINT (9.125265746125375 52.53826407510022),27739871,199.12,27739871T
T_32,,,TENNETGMBH,,,,,,0.006845207320856169,0.31326646675628167,-2480.41808,351.83097999999995,,,,,,Added for coherence. Not in the data.,POINT (8.052012197053129 53.33307136740962),1128250707,1608.8160000000003,1128250707T
