name,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments,CORE-TSO-name,geometry,transformer_dupplicate,v_nom
104524889,5.268948020506301,50.53469527945089,BE,ELIA,Polygon,Tihange,BE,380000,Elia,,,"TIHANGE 3, TIHANGE 2, TIHANGE 1, TIHANGE BIS",POINT (5.268948020506301 50.53469527945089),False,400.0
121085952,5.795846665169853,49.56639610066227,BE,ELIA,Polygon,Aubange,BE,380000;220000,Elia,,"Manually corrected. In BE, but also in LU","AUBANGE, TR AUBANGE PST 1, TR AUBANGE 380/220 TFO 1, TR AUBANGE 380/220 TFO 2",POINT (5.795846665169853 49.56639610066227),False,400.0
19783816,4.307260501468507,51.30118844699209,BE,ELIA,Polygon,Elia Lillo,BE,380000,Elia,,,LILLO,POINT (4.307260501468507 51.30118844699209),False,400.0
91142310,5.619614538353743,50.64453228783661,BE,ELIA,Polygon,220 kV Jupille,BE,220000;150000,,,,JUPILLE,POINT (5.619614538353743 50.64453228783661),False,220.0
1068913125,5.6620236,49.9933909,BE,ELIA,Point,,BE,220000,,,Y-junction at 1.5 km from the station,REPIQUAGE SENONCHAMPS 220kV,POINT (5.6620236 49.9933909),False,220.0
98410713,4.567921811327316,50.43683040440003,BE,ELIA,Polygon,380kV Tergnée,BE,380000;150000,,,,TERGNEE,POINT (4.567921811327316 50.43683040440003),False,400.0
124703985,5.774219715428733,51.12103502024237,BE,ELIA,Polygon,Van Eyck,BE,380000,Elia,,,"VAN EYCK, Van Eyck, TR VAN EYCK PST 1, TR VAN EYCK PST 2",POINT (5.774219715428733 51.12103502024237),False,400.0
87529551,3.469245484828019,50.78256808907241,BE,ELIA,Polygon,Avelgem,BE,380000,Elia,,,AVELGEM,POINT (3.469245484828019 50.78256808907241),False,400.0
32002039,4.629278909989232,51.19581789367956,BE,ELIA,Polygon,Massenhoven,BE,380000;150000,Elia,,,MASSENHOVEN,POINT (4.629278909989232 51.19581789367956),False,400.0
92015823,5.5500577062992935,50.21003502026021,BE,ELIA,Polygon,Marcourt,BE,220000,Elia,,,MARCOURT,POINT (5.5500577062992935 50.21003502026021),False,220.0
387620061,5.94774781221324,49.510111772265766,BE,ELIA,Polygon,Belval,LU,220000,Elias,,"Manually corrected. In LU, but also in BE","BELVAL, SOTEL",POINT (5.94774781221324 49.510111772265766),False,220.0
432647374,3.201002691788593,51.26361549840031,BE,ELIA,Polygon,Gezelle,BE,380000,Elia,,,GEZELLE,POINT (3.201002691788593 51.26361549840031),False,400.0
33814632,5.755441654366624,49.69319945208319,BE,ELIA,Polygon,Poste 220/70/15 kV de Heinsch,BE,220000;70000;15000,Elia,,,HEINSCH,POINT (5.755441654366624 49.69319945208319),False,220.0
1062894258,5.686983957211397,49.999782637783966,BE,ELIA,Polygon,Bastogne,BE,220000,Elia,,,BASTOGNE,POINT (5.686983957211397 49.999782637783966),False,220.0
