,x,y,CORE-TSO_country,CORE-TSO_tso,OSM_id,OSM_type,OSM_name,OSM_country,OSM_voltage,OSM_operator,OSM_alt_name,Comments
AFTAKKING LIEFKENSHOEK 380kV,4.2889248,51.2839075,BE,ELIA,162667041.0,Point,,BE,380000,,,Y-junction at 2.42 km from the station
REPIQUAGE SART-TILMAN 220kV,5.5527081,50.5887205,BE,ELIA,1094439002.0,Point,,BE,220000,,,Y-junction at 0.4 km from the station
EEKLO NOORD,3.5373578489353608,51.206653613484974,BE,ELIA,87779917.0,Polygon,380/150kV Eeklo Noord,BE,380000;150000,Elia,,
Malesice,14.529675872639078,50.08409573039229,CZ,CEPS,25838372.0,Polygon,Rozvodna Malešice,CZ,220000;110000;22000,ČEPS;PRE,,
Milin,14.070761931013587,49.59614708282568,CZ,CEPS,28478418.0,Polygon,Milín,CZ,220000;110000,ČEPS,,
Bezdecin,15.11240582700131,50.65776476965347,CZ,CEPS,28475691.0,Polygon,Bezděčín,CZ,400000;110000;22000,ČEPS,,
Albrechtice,18.507933548503942,49.7856508669776,CZ,CEPS,28624926.0,Polygon,Albrechtice,CZ,400000;110000,ČEPS,,
Chotejovice,13.801430394996355,50.583087711058994,CZ,CEPS,197827799.0,Polygon,Chotějovice,CZ,400000;220000;110000;35000;10000,ČEPS,,
Chodov,14.503747371337296,50.01798119832701,CZ,CEPS,28478409.0,Polygon,Chodov,CZ,400000;110000;22000,ČEPS;PRE,,
Hradec,13.3273324005706,50.34652938932505,CZ,CEPS,28099187.0,Polygon,Hradec,CZ,400000;220000,ČEPS,,
Babylon,14.455785375303432,50.63547974652501,CZ,CEPS,28479110.0,Polygon,Babylon,CZ,400000;110000,ČEPS,,
Otrokovice,17.55962682655818,49.21675906685067,CZ,CEPS,28626812.0,Polygon,rozvodna Otrokovice 400/110 kV,CZ,400000,ceps_cz,,
Vyskov,13.695452508577215,50.39602262665922,CZ,CEPS,28349754.0,Polygon,Výškov,CZ,400000;220000;110000,ČEPS,,
Sokolnice,16.699080878148727,49.11225687192472,CZ,CEPS,27849030.0,Polygon,Sokolnice,CZ,400000;220000;110000;22000,,,
Chrast,13.47488579231017,49.77864254329741,CZ,CEPS,28476742.0,Polygon,Chrást,CZ,400000;110000;22000,,,
Krasikov,16.668411344090764,49.85869709978398,CZ,CEPS,28470958.0,Polygon,Krasíkov,CZ,400000,ČEPS,,
Kocin,14.352912820885056,49.158054602520096,CZ,CEPS,28469397.0,Polygon,rozvodna Kočín,CZ,400000;110000,ČEPS,,
Tabor,14.690021953414233,49.4116049700708,CZ,CEPS,28622657.0,Polygon,Tábor,CZ,220000;110000;22000,ČEPS,,
H.Zivotice,17.647828431700574,49.97320346660107,CZ,CEPS,28628927.0,Polygon,Horní Životice,CZ,400000;110000,ČEPS,,
C. Stred,14.768623247695958,50.143021870609175,CZ,CEPS,28468576.0,Polygon,Rozvodna Čechy střed,CZ,400000;220000;110000,ČEPS,,
Prestice,13.335280425866396,49.58968984155671,CZ,CEPS,28477054.0,Polygon,Přeštice,CZ,400000;220000;110000,ČEPS,,
Cebin,16.458080876198498,49.330315842785176,CZ,CEPS,26143409.0,Polygon,Čebín,CZ,400000;110000;25000,,,
Mirovka,15.59909177461945,49.580664534031854,CZ,CEPS,28382372.0,Polygon,Mírovka,CZ,400000;110000,ČEPS,,
Liskovec,18.31585276475545,49.7050424837614,CZ,CEPS,28624004.0,Polygon,Lískovec,CZ,220000;110000,ČEPS,,
Neznasov,15.835183566285863,50.33590680327703,CZ,CEPS,28268556.0,Polygon,Neznášov,CZ,400000;110000,ČEPS,,
Opocinek,15.649198616042376,50.03188429128898,CZ,CEPS,28348269.0,Polygon,Opočínek,CZ,220000;110000,ČEPS,,
Dasny,14.42199718190684,49.0253116812348,CZ,CEPS,28479829.0,Polygon,rozvodna Dasný,CZ,400000;110000,ČEPS,,
Tynec,15.361324479184216,50.05491703438246,CZ,CEPS,28622793.0,Polygon,Týnec,CZ,400000;110000,,,
Nosovice,18.43071515413453,49.66900925521413,CZ,CEPS,28624204.0,Polygon,Nošovice,CZ,400000;110000,ČEPS,,
Reporyje,14.329935709432464,50.01576645531679,CZ,CEPS,28457258.0,Polygon,Transformovna Řeporyje,CZ,400000;110000;22000,,,
H. Zivotice,17.647828431700574,49.97320346660107,CZ,CEPS,28628927.0,Polygon,Horní Životice,CZ,400000;110000,ČEPS,,
Prosenice,17.498345120546542,49.50326351755285,CZ,CEPS,28625556.0,Polygon,Prosenice,CZ,400000;220000;110000,ČEPS,,
Kletne,17.941219948440782,49.67808874989066,CZ,CEPS,174152948.0,Polygon,Kletné,CZ,400000;110000,ČEPS,,
Slavetice,16.118891740563257,49.10375398329698,CZ,CEPS,27867392.0,Polygon,Slavětice,CZ,400000;110000,ČEPS,,
Vitkov,12.675255871288725,50.16071099308343,CZ,CEPS,149306820.0,Polygon,Vítkov,CZ,220000;110000,ČEPS,,Multiple matches
Siedenbrünzow,13.143224660712592,53.9077975741962,DE,50HERTZ,941453716.0,Polygon,Umspannwerk Siedenbrünzow,DE,380000,50Hertz Transmission,,
Wuhlheide,13.506127335205774,52.47382560747208,DE,50HERTZ,22973052.0,Polygon,Umspannwerk Wuhlheide,DE,220000;110000,50Hertz Transmission GmbH;Stromnetz Berlin GmbH,,
Eisenach,10.386350947947497,51.00214825938562,DE,50HERTZ,948341123.0,Polygon,Umspannwerk Eisenach,DE,380000,50Hertz Transmission,,
Hagenwerder,14.94648201031002,51.06257706569987,DE,50HERTZ,59026005.0,Polygon,Umspannwerk Hagenwerder,DE,380000,50Hertz Transmission,,
Hamburg/Ost,10.15964354917555,53.555364472098745,DE,50HERTZ,23583867.0,Polygon,Hamburg/Ost,DE,380000,50Hertz Transmission,,Duplicated OSM name: 23583867 23583867 
Vierraden,14.268638974985045,53.09783446837573,DE,50HERTZ,170123812.0,Polygon,Umspannwerk Vierraden,DE,380000,50Hertz Transmission,,
Malchow,13.495562984152052,52.58992665987579,DE,50HERTZ,940636813.0,Polygon,Umspannwerk Malchow,DE,380000,50Hertz;Stromnetz Berlin,,
Parchim/Süd,11.89982925573428,53.40736193472257,DE,50HERTZ,517421342.0,Polygon,Umspannwerk Parchim Süd,DE,220000,50Hertz Transmission,,
Teufelsbruch,13.21153710156179,52.58065166569597,DE,50HERTZ,30132758.0,Polygon,Umspannwerk Teufelsbruch,DE,380000;110000,50Hertz Transmission,,
Lubmin,13.685367373727471,54.13880850286776,DE,50HERTZ,460134233.0,Polygon,Umspannwerk Lubmin,DE,380000,50Hertz Transmission,,Duplicated OSM name: 460134233 1091984573 
Wustermark,12.942934968142938,52.56249764066212,DE,50HERTZ,27149550.0,Polygon,Umspannwerk Wustermark,DE,380000,50Hertz Transmission,,Duplicated OSM name: 27149550 940635545 
Pasewalk,14.033670663639295,53.50757745170813,DE,50HERTZ,943444232.0,Polygon,Umspannwerk Pasewalk,DE,220000,50Hertz Transmission GmbH;,,
Schönewalde,13.157894179471938,51.82827155601003,DE,50HERTZ,28729619.0,Polygon,UW Schönewalde,DE,380000,50Hertz Transmission,,Duplicated OSM name: 28729619 28729619 
Bertikow,13.95682653407757,53.25237502729315,DE,50HERTZ,30039908.0,Polygon,Umspannwerk Bertikow,DE,220000;110000,Enertrag,,
Eisenhüttenstadt (Abzweig),14.5112165,52.1616153,DE,50HERTZ,1691982892.0,Point,,DE,380000,,,Y-junction at 7.53 km from the station
Wolmirstedt,11.639147591424328,52.26896991806889,DE,50HERTZ,26472665.0,Polygon,Umspannwerk Wolmirstedt,DE,380000,50Hertz Transmission,,
Gransee,13.26352037173953,52.99408435930039,DE,50HERTZ,518455594.0,Polygon,Umspannwerk Gransee,DE,380000,50Hertz Transmission GmbH,,
Remptendorf,11.6460436675051,50.53432660015694,DE,50HERTZ,128277645.0,Polygon,Umspannwerk Remptendorf,DE,380000,50Hertz Transmission,,Duplicated OSM name: 128277645 1086825107 
Graustein,14.472073973915816,51.553897996650406,DE,50HERTZ,30164703.0,Polygon,Umspannwerk Graustein,DE,380000,50Hertz Transmission,,Duplicated OSM name: 30164703 30164703 
Streumen,13.383335268140216,51.35560632374584,DE,50HERTZ,157328339.0,Polygon,Umspannwerk Streumen,DE,380000,50Hertz Transmission,,
Marzahn,13.524113150563432,52.5357936785092,DE,50HERTZ,22973070.0,Polygon,Umspannwerk Marzahn,DE,380000,50Hertz Transmission,,Duplicated OSM name: 22973070 940921737 
Perleberg,11.852430967430458,53.086860875068965,DE,50HERTZ,59707532.0,Polygon,Umspannwerk Perleberg,DE,380000,50Hertz Transmission,,
Preilack,14.428223938673938,51.88887761666471,DE,50HERTZ,941198517.0,Polygon,Umspannwerk Preilack,DE,380000,50Hertz Transmission,,
Vieselbach,11.123246229477049,50.99837544912323,DE,50HERTZ,143882655.0,Polygon,Umspannwerk Vieselbach,DE,380000,50Hertz Transmission,"50 Hertz GmbH, Regionalzentrum Süd-West",Duplicated OSM name: 143882655 947801636 
Altenfeld,10.99145247430845,50.57344666551207,DE,50HERTZ,149256409.0,Polygon,Umspannwerk Altenfeld,DE,380000,50Hertz Transmission,,
Brunsbüttel,9.20168360386404,53.89581463975601,DE,50HERTZ,30622610.0,Polygon,Umspannwerk Kernkraftwerk Brunsbüttel,DE,380000;220000;110000,50Hertz Transmission,,Multiple matches
Dresden/Süd,13.842318804824476,50.989494850485386,DE,50HERTZ,942771541.0,Polygon,Umspannwerk Dresden Süd,DE,380000,50Hertz Transmission,,
Güstrow,12.187783572738446,53.81650473574688,DE,50HERTZ,32062544.0,Polygon,Umspannwerk Güstrow,DE,380000,50Hertz Transmission,,Duplicated OSM name: 32062544 942443697 1094015892 
Remptendorf - Großschwabhausen,11.6460436675051,50.53432660015694,DE,50HERTZ,128277645.0,Polygon,Umspannwerk Remptendorf,DE,380000,50Hertz Transmission,,"Manually corrected.  To be consistent with the line length and capacity we choose to identify it with Remptendorf. Ideally, the line should be divided in two with Großschwabhausen in the middle."
Bentwisch,12.213541114842796,54.111982000414535,DE,50HERTZ,32318130.0,Polygon,Bentwisch,DE,220000;110000,E.DIS Netz GmbH,,
Thyrow,13.30634069585986,52.23082066092722,DE,50HERTZ,29331499.0,Polygon,Umspannwerk Thyrow,DE,220000,50Hertz Transmission,,Duplicated OSM name: 29331499 940470389 
Bärwalde,14.508109320589512,51.4137009365031,DE,50HERTZ,157806991.0,Polygon,Schaltwerk Bärwalde,DE,380000,50Hertz Transmission,,
Eisenhüttenstadt,14.604063704993752,52.17483381828569,DE,50HERTZ,52983550.0,Polygon,Umspannwerk Eisenhüttenstadt,DE,380000,50Hertz Transmission,,
Heinersdorf (Abzweig),14.1357167,52.4417992,DE,50HERTZ,1731698972.0,Point,,DE,380000,,,Y-junction at 0.12 km from the station
Wolkramshausen,10.73466945062908,51.44018679097668,DE,50HERTZ,157164284.0,Polygon,Wolkramshausen,DE,220000,50Hertz,,
Neuenhagen,13.710163845494778,52.539128262482336,DE,50HERTZ,137197826.0,Polygon,Umspannwerk Neuenhagen,DE,380000,50Hertz Transmission,,Duplicated OSM name: 137197826 942448206 
Hamburg/Nord,9.984058791561033,53.74147911235296,DE,50HERTZ,22720647.0,Polygon,Hamburg Nord,DE,380000;220000,50Hertz Transmission,,Duplicated OSM name: 22720647 28008024 
Altentreptow/Süd,13.174668468897496,53.62359937452189,DE,50HERTZ,947118608.0,Polygon,Umspannwerk Altentreptow Süd,DE,380000,50Hertz Transmission,,
Perleberg - Putlitz,11.852430967430458,53.086860875068965,DE,50HERTZ,59707532.0,Polygon,Umspannwerk Perleberg,DE,380000,50Hertz Transmission,,"Manually corrected. To guarantee that the network is connected we have to identify it with Perleberg, since Putlitz is in the middle. Ideally, the line should be divided in two with  Putlitz in the middle."
Jessen/Nord,13.058542254426865,51.799982190821154,DE,50HERTZ,398680313.0,Polygon,Umspannwerk Jessen Nord (Schweinitz),DE,380000,50Hertz Transmission,,
Förderstedt,11.64404738157066,51.9082735556352,DE,50HERTZ,943939310.0,Polygon,Umspannwerk Förderstedt,DE,380000,50Hertz Transmission,,
