line_name,eic_code,tso,substation_1,substation_2,voltage_kv
Dauersberg - Setzer Wiese HELLER O,11T0-0000-1409-C,AMPRION GMBH,Dauersberg,Setzer Wiese,220.0
Dauersberg - Setzer Wiese HELLER W,11T0-0000-0480-D,AMPRION GMBH,Dauersberg,Setzer Wiese,220.0
Y-Herbertingen (-Hoheneck - Metzingen) HERBTG W,11T0-0000-1879-1,AMPRION GMBH,Herbertingen,Herbertingen,380.0
Y-Hoheneck (-Herbertingen - Metzingen) HERBTG W,11T0-0000-0963-O,AMPRION GMBH,Hoheneck,Herbertingen,380.0
Kriftel - Limburg HESSEN O,11T0-0000-0702-O,AMPRION GMBH,Kriftel,Limburg,380.0
Kusenhorst - Poeppinghausen HOCHLR O,11T0-0000-0340-Y,AMPRION GMBH,Kusenhorst,Poeppinghausen,220.0
Y-Bochum (-Kusenhorst - Poeppinghausen) HOCHLR W,11T0-0000-0183-J,AMPRION GMBH,Bochum,Y-Poeppinghausen,220.0
Y-Kusenhorst (-Bochum - Poeppinghausen) HOCHLR W,11T0-0000-0345-J,AMPRION GMBH,Kusenhorst,Y-Poeppinghausen,220.0
Y-Poeppinghausen (-Bochum - Kusenhorst) HOCHLR W,11T0-0000-0443-K,AMPRION GMBH,Poeppinghausen,Y-Poeppinghausen,220.0
Eiberg - Huellen HUELLN W,11T0-0000-0651-C,AMPRION GMBH,Eiberg,Huellen,380.0
Ibbenbueren - Westerkappeln IBBENB S,11T0-0000-0911-D,AMPRION GMBH,Ibbenbueren,Westerkappeln,380.0
Koetz - Voehringen ILLER N,11T0-0000-1956-D,AMPRION GMBH,Koetz,Voehringen,380.0
Y-Eiberg (-Hattingen - Opladen ) ITTERB O,11T0-0000-0247-I,AMPRION GMBH,Eiberg,Y-Mettmann,220.0
Y-Hattingen (-Eiberg - Opladen) ITTERB O,11T0-0000-0319-J,AMPRION GMBH,Hattingen,Y-Mettmann,220.0
Y-Opladen (-Eiberg - Hattingen) ITTERB O,11T0-0000-0421-Y,AMPRION GMBH,Opladen,Y-Mettmann,220.0
Eiberg - St.Peter ITTERB W,11T0-0000-2264-7 ,AMPRION GMBH,Eiberg,St. Peter,220.0
Y-Lambsheim (-Mittelbexbach - Otterbach) KAILAU N,11T0-0000-0693-R,AMPRION GMBH,Lambsheim,Y-Otterbach,380.0
Y-Mittelbexbach (-Lambsheim - Otterbach) KAILAU N,11T0-0000-0742-8,AMPRION GMBH,Mittelbexbach,Y-Otterbach,380.0
Y-Otterbach (-Lambsheim - Mittelbexbach) KAILAU N,11T0-0000-0809-Z,AMPRION GMBH,Otterbach,Y-Otterbach,380.0
Lambsheim - Otterbach KAILAU S,11T0-0000-0688-G,AMPRION GMBH,Lambsheim,Otterbach,380.0
Dettingen - Urberach KARLST S,11T0-0000-0871-V,AMPRION GMBH,Dettingen,Urberach (NEU),380.0
Fuehlingen - Opladen KASSEL S,11T0-0000-0414-T,AMPRION GMBH,Fuehlingen,Opladen,220.0
Bischofsheim - Kelsterbach KELSTB N,11T0-0000-0658-S,AMPRION GMBH,Bischofsheim,Kelsterbach,380.0
Hattingen - Witten KEMNAD S,11T0-0000-0915-1,AMPRION GMBH,Hattingen,Witten,380.0
Leupolz - Woringen KEMPTE O,11T0-0000-0918-T,AMPRION GMBH,Leupolz,Woringen,380.0
Oberzier - Siersdorf KIRCHB S,11T0-0000-0776-L,AMPRION GMBH,Oberzier,Siersdorf,380.0
Kruckel - Mengede KIRCHL O,11T0-0000-0730-I,AMPRION GMBH,Kruckel,Mengede,380.0
Osterath - Rommerskirchen KNESTE W,11T0-0000-0802-J,AMPRION GMBH,Osterath,Rommerskirchen,380.0
Koblenz - Weissenthurm KOBLNZ N,11T0-0000-0897-5,AMPRION GMBH,Koblenz,Weissenthurm,380.0
Wengerrohr - Weissenthurm KONDLW,11T0-0000-0540-O,AMPRION GMBH,Wengerrohr,Weissenthurm,220.0
Hoheneck - Rheinau KUGELB O,11T0-0000-0566-Z,AMPRION GMBH,Hoheneck,Rheinau,380.0
Hoheneck - Rheinau KUGELB W,11T0-0000-0567-W,AMPRION GMBH,Hoheneck,Rheinau,380.0
Buerstadt - Rheinau KURPFA O,11T0-0000-1421-S,AMPRION GMBH,Buerstadt,Rheinau,380.0
Buerstadt - Rheinau KURPFA W,11T0-0000-1422-P,AMPRION GMBH,Buerstadt,Rheinau,380.0
Lambsheim - Weingarten LAMBSH W,11T0-0000-0689-D,AMPRION GMBH,Lambsheim,Weingarten,380.0
Lechhausen - Meitingen LECHHA W,11T0-0000-0723-D,AMPRION GMBH,Lechhausen,Meitingen,380.0
Linde - Opladen LEICHL O,11T0-0000-0791-S,AMPRION GMBH,Linde,Opladen,380.0
Halfeshof - Opladen LEICHL W,11T0-0000-0790-V,AMPRION GMBH,Halfeshof,Opladen,380.0
Dauersberg - Siegburg LEUSHD N,11T0-0000-0212-8,AMPRION GMBH,Dauersberg,Siegburg,220.0
Dauersberg - Siegburg LEUSHD S,11T0-0000-0213-5,AMPRION GMBH,Dauersberg,Siegburg,220.0
Liessem - Sechtem LIESSM O,11T0-0000-0842-3,AMPRION GMBH,Liessem,Sechtem,380.0
Dauersberg - Limburg LIMBG W,11T0-0000-1515-F,AMPRION GMBH,Dauersberg,Limburg,380.0
Kusenhorst - Niederrhein LIPPE N,11T0-0000-0680-3,AMPRION GMBH,Kusenhorst,Niederrhein,380.0
Nordlicht - Niederrhein LIPPE S,11T0-0000-2300-1,AMPRION GMBH,Nordlicht,Niederrhein,380.0
Spellen - Walsum LOENEN O,11T0-0000-0491-6,AMPRION GMBH,Spellen,Walsum,220.0
Spellen - Walsum LOENEN W,11T0-0000-0492-3,AMPRION GMBH,Spellen,Walsum,220.0
Utfort - Walsum LOHHEI W,11T0-0000-0890-Q,AMPRION GMBH,Utfort,Walsum,380.0
Y-Osterath (-Rath - Selbeck) MEERBU W,11T0-0000-2175-5,AMPRION GMBH,Osterath,Y-Rath,380.0
Y-Rath (-Osterath -Selbeck) MEERBU W,11T0-0000-2176-2,AMPRION GMBH,Rath,Y-Rath,380.0
Y-Selbeck (-Osterath - Rath) MEERBU W,11T0-0000-2178-X,AMPRION GMBH,Selbeck,Y-Rath,380.0
Gundelfingen - Meitingen MEITGN N,11T0-0000-0721-J,AMPRION GMBH,Gundelfingen,Meitingen,380.0
Gundelfingen - Meitingen MEITGN S,11T0-0000-0722-G,AMPRION GMBH,Gundelfingen,Meitingen,380.0
Gersteinwerk - Mengede MENGED N,11T0-0000-0729-W,AMPRION GMBH,Gersteinwerk,Mengede,380.0
Lippe - Mengede MENGED S,11T0-0000-0733-9,AMPRION GMBH,Lippe,Mengede,380.0
Duennwald - Gremberghoven MERHM O,11T0-0000-0234-V,AMPRION GMBH,Duennwald,Gremberghoven,220.0
Duennwald - Gremberghoven MERHM W,11T0-0000-0235-S,AMPRION GMBH,Duennwald,Gremberghoven,220.0
Koblenz - Weissenthurm METTER,11T0-0000-0898-2,AMPRION GMBH,Koblenz,Weissenthurm,380.0
