substation,tso,lat,lon,address,found
Eisenhüttenstadt,50HERTZ,52.1448863,14.6294413,"Eisenhüttenstadt, Siehdichum, Oder-Spree, Brandenburg, 15890, Deutschland",True
Eisenhüttenstadt (Abzweig),50HERTZ,,,,False
Eiserfeld,AMPRION GMBH,50.834907,7.9927373,"Eiserfeld, Siegen, Kreis Siegen-Wittgenstein, Nordrhein-Westfalen, 57080, Deutschland",True
Eller,AMPRION GMBH,51.2012532,6.8375905,"Eller, Stadtbezirk 8, Düsseldorf, Nordrhein-Westfalen, 40229, Deutschland",True
Elmenhorst,AMPRION GMBH,53.5462437,10.5344352,"Elmenhorst, Schwarzenbek-Land, Kreis Herzogtum Lauenburg, Schleswig-Holstein, Deutschland",True
Elsen,TENNETGMBH,51.7353263,8.6869145,"Elsen, Paderborn, Kreis Paderborn, Nordrhein-Westfalen, 33106, Deutschland",True
Elsfleth/W,TENNETGMBH,53.2357029,8.4571037,"Elsfleth, Landkreis Wesermarsch, Niedersachsen, 26931, Deutschland",True
Eltmann,TENNETGMBH,49.9725016,10.6662064,"Eltmann, Landkreis Haßberge, Bayern, 97483, Deutschland",True
Emden/O,TENNETGMBH,53.3670541,7.2058304,"Emden, Niedersachsen, Deutschland",True
Emscherbruch,AMPRION GMBH,51.5588869,7.1907135,"Emscherbruch, Hochlarmark, Recklinghausen, Kreis Recklinghausen, Nordrhein-Westfalen, 45661, Deutschland",True
Endersbach,TRANSNETBW,48.8103115,9.3655003,"Endersbach, Weinstadt, Rems-Murr-Kreis, Baden-Württemberg, Deutschland",True
Engstlatt,TRANSNETBW,48.2965328,8.8815189,"Engstlatt, Balingen, VVG der Stadt Balingen, Zollernalbkreis, Baden-Württemberg, Deutschland",True
Enniger,AMPRION GMBH,51.8310685,7.9490989,"Enniger, Ennigerloh, Kreis Warendorf, Nordrhein-Westfalen, Deutschland",True
Ensdorf,AMPRION GMBH,49.3435347,11.9353839,"Ensdorf, Landkreis Amberg-Sulzbach, Bayern, 92266, Deutschland",True
Erzhausen,TENNETGMBH,49.9524332,8.6389953,"Erzhausen, Landkreis Darmstadt-Dieburg, Hessen, 64390, Deutschland",True
Etzenricht,TENNETGMBH,49.63183,12.0921077,"Etzenricht, Weiherhammer (VGem), Landkreis Neustadt an der Waldnaab, Bayern, 92694, Deutschland",True
Eula,50HERTZ,51.1496022,12.5130329,"Eula, Borna, Landkreis Leipzig, Sachsen, 04552, Deutschland",True
FWH-S,AMPRION GMBH,,,,False
Farge,TENNETGMBH,53.200157,8.528893,"Farge, Blumenthal, Bremen-Nord, Bremen, 28777, Deutschland",True
Fedderwarden,TENNETGMBH,53.5628789,8.044606,"Fedderwarden, Wilhelmshaven, Wangerland, Niedersachsen, Deutschland",True
Frankfurt/N,TENNETGMBH,50.1106444,8.6820917,"Frankfurt am Main, Hessen, Deutschland",True
Frankfurt/SW,TENNETGMBH,51.76576,14.3223582,"Studentenwerk Frankfurt (Oder) und Kita ""Anne Frank"" (SW), 21, Universitätsstraße, Ströbitz, Cottbus - Chóśebuz, Brandenburg, 03046, Deutschland",True
Freiberg/Nord,50HERTZ,50.9326841,13.3299819,"Freiberg Nord, Freiberg, Mittelsachsen, Sachsen, Deutschland",True
Friedrichshain,50HERTZ,51.6012138,14.5718866,"Friedrichshain - Frycowy Gaj, Felixsee, Döbern-Land, Spree-Neiße - Sprjewja-Nysa, Brandenburg, 03159, Deutschland",True
Fuehlingen,AMPRION GMBH,51.0374403,6.9045188,"Fühlingen, Chorweiler, Köln, Nordrhein-Westfalen, Deutschland",True
Förderstedt,50HERTZ,51.8973448,11.634306,"Förderstedt, Staßfurt, Salzlandkreis, Sachsen-Anhalt, 39443, Deutschland",True
GKM,TRANSNETBW,51.0109037,13.7674996,"GKM, 10, Thomas-Mann-Straße, Leubnitz, Leubnitz-Neuostra, Prohlis, Dresden, Sachsen, 01219, Deutschland",True
GKMB,TRANSNETBW,,,,False
GKN2,TRANSNETBW,,,,False
Ganderkesee,TENNETGMBH,53.0344984,8.5451469,"Ganderkesee, Landkreis Oldenburg, Niedersachsen, 27777, Deutschland",True
Garenfeld,AMPRION GMBH,51.4004956,7.5176683,"Garenfeld, Hagen, Nordrhein-Westfalen, 58093, Deutschland",True
Garrel/O,TENNETGMBH,52.9554303,8.0225529,"Garrel, Landkreis Cloppenburg, Niedersachsen, 49681, Deutschland",True
Geithe,AMPRION GMBH,51.6811743,7.9162804,"Geithe, Uentrop, Hamm, Nordrhein-Westfalen, 59071, Deutschland",True
Gellep,AMPRION GMBH,51.3306621,6.6727866,"Gellep-Stratum, Krefeld-Uerdingen, Krefeld, Nordrhein-Westfalen, Deutschland",True
Gelsenberg,AMPRION GMBH,51.5305264,7.0350905,"Gelsenbergstraße, Horst, Gelsenkirchen-West, Gelsenkirchen, Nordrhein-Westfalen, 45899, Deutschland",True
Gersteinwerk,AMPRION GMBH,51.6749132,7.7222079,"Gersteinwerk, Werne, Kreis Unna, Nordrhein-Westfalen, 59368, Deutschland",True
Giessen/N,TENNETGMBH,50.5808795,8.6938161,"Gießen, Landkreis Gießen, Hessen, Deutschland",True
Gleidingen,TENNETGMBH,52.2746747,9.8397516,"Gleidingen, Laatzen, Region Hannover, Niedersachsen, Deutschland",True
Gohrpunkt,AMPRION GMBH,,,,False
Goldshoefe,TRANSNETBW,48.8943642,10.1282565,"Goldshöfe, 1, Goldshöfer Bahnhof, Goldshöfe, Hofen, Aalen, VVG der Stadt Aalen, Ostalbkreis, Baden-Württemberg, 73433, Deutschland",True
Grafenrheinfeld,TENNETGMBH,50.0055317,10.1966808,"Grafenrheinfeld, Landkreis Schweinfurt, Bayern, 97506, Deutschland",True
Gransee,50HERTZ,53.0618234,13.166625,"Gransee, Gransee und Gemeinden, Oberhavel, Brandenburg, 16775, Deutschland",True
Graustein,50HERTZ,51.572529,14.4739811,"Graustein - Syjk, Spremberg, Spree-Neiße - Sprjewja-Nysa, Brandenburg, Deutschland",True
Gremberghoven,AMPRION GMBH,50.9047384,7.0547855,"Gremberghoven, Porz, Köln, Nordrhein-Westfalen, Deutschland",True
Grohnde,TENNETGMBH,52.0187867,9.4195248,"Grohnde, Emmerthal, Landkreis Hameln-Pyrmont, Niedersachsen, 31860, Deutschland",True
Gronau,AMPRION GMBH,52.0843618,9.7754675,"Gronau, Samtgemeinde Leinebergland, Landkreis Hildesheim, Niedersachsen, 31028, Deutschland",True
Grossgartach,TRANSNETBW,49.1425406,9.1258701,"Großgartach, Leingarten, Landkreis Heilbronn, Baden-Württemberg, 74211, Deutschland",True
Grossgartach ,TRANSNETBW,49.1425406,9.1258701,"Großgartach, Leingarten, Landkreis Heilbronn, Baden-Württemberg, 74211, Deutschland",True
Grossgartach  2,TRANSNETBW,49.1425406,9.1258701,"Großgartach, Leingarten, Landkreis Heilbronn, Baden-Württemberg, 74211, Deutschland",True
Grosskrotzenburg,TENNETGMBH,50.0826406,8.9837384,"Großkrotzenburg, Main-Kinzig-Kreis, Hessen, 63538, Deutschland",True
Großgartach C2,TRANSNETBW,49.1425406,9.1258701,"Großgartach, Leingarten, Landkreis Heilbronn, Baden-Württemberg, 74211, Deutschland",True
Gruenkraut,TRANSNETBW,47.7418011,9.6523337,"Grünkraut, GVV Gullen, Landkreis Ravensburg, Baden-Württemberg, 88287, Deutschland",True
Guetersloh,AMPRION GMBH,51.9166621,8.4043282,"Gütersloh, Kreis Gütersloh, Nordrhein-Westfalen, Deutschland",True
Gundelfingen,AMPRION GMBH,48.0328928,7.8932553,"Gundelfingen, VVG der Gemeinde Gundelfingen, Landkreis Breisgau-Hochschwarzwald, Baden-Württemberg, 79194, Deutschland",True
Gurtweil,TRANSNETBW,47.6412423,8.2465136,"Gurtweil, Waldshut-Tiengen, VVG der Stadt Waldshut-Tiengen, Landkreis Waldshut, Baden-Württemberg, Deutschland",True
Görries,50HERTZ,53.6054505,11.3753278,"Görries, Schwerin, Mecklenburg-Vorpommern, 19061, Deutschland",True
Güstrow,50HERTZ,53.793587,12.1764906,"Güstrow, Landkreis Rostock, Mecklenburg-Vorpommern, Deutschland",True
Hagenwerder,50HERTZ,51.068144,14.9615029,"Hagenwerder, Görlitz, Sachsen, Deutschland",True
Halfeshof,AMPRION GMBH,51.2363122,6.9727652,"Halfeshof, Süd, Mettmann, Kreis Mettmann, Nordrhein-Westfalen, 40822, Deutschland",True
Hallendorf,TENNETGMBH,52.1533277,10.3775522,"Hallendorf, Ortschaft Ost, Salzgitter, Niedersachsen, Deutschland",True
Hamborn,AMPRION GMBH,51.5041215,6.7725325,"Hamborn, Duisburg, Nordrhein-Westfalen, Deutschland",True
Hamburg/N,TENNETGMBH,53.550341,10.000654,"Hamburg, Deutschland",True
Hamburg/Nord,50HERTZ,53.6191556,10.0097399,"Hamburg-Nord, Hamburg, Deutschland",True
Hamburg/Ost,50HERTZ,53.546959,9.9894645,"Telefónica Germany, 69, Willy-Brandt-Straße, Altstadt, Hamburg-Mitte, Hamburg, 20457, Deutschland",True
Hamburg/Süd,50HERTZ,53.5251691,9.9918317,"Hafenbahnhof Hamburg Süd, Veddeler Damm, Kleiner Grasbrook, Hamburg-Mitte, Hamburg, 20457, Deutschland",True
Handewitt,TENNETGMBH,54.7674684,9.3257408,"Handewitt, Kreis Schleswig-Flensburg, Schleswig-Holstein, Deutschland",True
Hanekenfaehr,AMPRION GMBH,52.471518,7.3031386,"Hanekenfähr, Lingen (Ems), Landkreis Emsland, Niedersachsen, Deutschland",True
Hannover/W,TENNETGMBH,52.9768702,7.2563259,"Hannover Weg, Dersum, Samtgemeinde Dörpen, Landkreis Emsland, Niedersachsen, 26906, Deutschland",True
Hardegsen,TENNETGMBH,51.6528043,9.8322034,"Hardegsen, Landkreis Northeim, Niedersachsen, 37181, Deutschland",True
Hattingen,AMPRION GMBH,51.4007175,7.1862486,"Hattingen, Ennepe-Ruhr-Kreis, Nordrhein-Westfalen, Deutschland",True
Hattorf,TENNETGMBH,52.3600784,10.7463328,"Hattorf, Hattorf-Heiligendorf, Wolfsburg, Niedersachsen, 38444, Deutschland",True
Heide/W,TENNETGMBH,50.6507398,7.3246952,"Heideweg, Orscheid, Bad Honnef, Rhein-Sieg-Kreis, Nordrhein-Westfalen, 53604, Deutschland",True
Heidelberg,TRANSNETBW,49.4093582,8.694724,"Heidelberg, Baden-Württemberg, Deutschland",True
Heilbronn,TRANSNETBW,49.142291,9.218655,"Heilbronn, Baden-Württemberg, Deutschland",True
