substation_name,tso
Voerden,TENNETGMBH
Voslapp,TENNETGMBH
Wahle,TENNETGMBH
Waldeck,TENNETGMBH
Waldlaubersheim,AMPRION GMBH
Walsum,AMPRION GMBH
Wambel,AMPRION GMBH
Wechold,TENNETGMBH
Wehrendorf,AMPRION GMBH
Weida,50HERTZ
Weier,TRANSNETBW
Weingarten,AMPRION GMBH
Weinheim,TRANSNETBW
Weissenthurm,AMPRION GMBH
Welper,AMPRION GMBH
Wendlingen,TRANSNETBW
Wengerrohr,AMPRION GMBH
Wessin,50HERTZ
Westerkappeln,AMPRION GMBH
Wiesloch,TRANSNETBW
Wilster/W,TENNETGMBH
Witten,AMPRION GMBH
Wolkramshausen,50HERTZ
Wolmirstedt,50HERTZ
Woringen,AMPRION GMBH
Wuergassen,TENNETGMBH
Wuergau,TENNETGMBH
Wuhlheide,50HERTZ
Wuhlheide (Abzweig),50HERTZ
Wustermark,50HERTZ
Y-Bellendorf,AMPRION GMBH
Y-Bidngen,AMPRION GMBH
Y-Bixterheide,AMPRION GMBH
Y-Bollenacker,AMPRION GMBH
Y-Bruchsal,TRANSNETBW
Y-Bruchsal/Kaendelweg,TRANSNETBW
Y-Buehl,TRANSNETBW
Y-Dahlem,AMPRION GMBH
Y-Dauersberg,AMPRION GMBH
Y-Daxlanden,TRANSNETBW
Y-Dellmensingen,TRANSNETBW
Y-Diefflen,AMPRION GMBH
Y-Doernigheim,TENNETGMBH
Y-Edelstahl,AMPRION GMBH
Y-Elmenhorst,AMPRION GMBH
Y-Endersbach,TRANSNETBW
Y-Engstlatt,TRANSNETBW
Y-Erzhausen,TENNETGMBH
Y-Frankfurt/SW,TENNETGMBH
Y-Garenfeld,AMPRION GMBH
Y-Garrel/O,TENNETGMBH
Y-Gelsenberg,AMPRION GMBH
Y-Gersteinwerk,AMPRION GMBH
Y-Guetersloh,AMPRION GMBH
Y-Hallendorf,TENNETGMBH
Y-Hanekenfaehr,AMPRION GMBH
Y-Hueffenhardt,TRANSNETBW
Y-Huntorf,TENNETGMBH
Y-Karnap,AMPRION GMBH
Y-Kriegenbrunn,TENNETGMBH
Y-Kruen,TENNETGMBH
Y-Limburg,AMPRION GMBH
Y-Lippborg,AMPRION GMBH
Y-Mettmann,AMPRION GMBH
Y-Mutterstadt,AMPRION GMBH
Y-Neckarwestheim,TRANSNETBW
Y-Niederlangen,TENNETGMBH
Y-Oberjettingen,TRANSNETBW
Y-Oechtel,AMPRION GMBH
Y-Ohligs,AMPRION GMBH
Y-Osterath,AMPRION GMBH
Y-Otterbach,AMPRION GMBH
Y-Paffendorf,AMPRION GMBH
Y-Pfungstadt,AMPRION GMBH
Y-Plattling,TENNETGMBH
Y-Poeppinghausen,AMPRION GMBH
Y-Rath,AMPRION GMBH
Y-Rhede,TENNETGMBH
Y-Rheinhausen,AMPRION GMBH
Y-Ried,AMPRION GMBH
Y-Schwelgern,AMPRION GMBH
Y-Simbach,TENNETGMBH
Y-Stockem,AMPRION GMBH
Y-Tiengen,AMPRION GMBH
Y-Voehringen,AMPRION GMBH
Y-Voerden,TENNETGMBH
Y-Waldeck,TENNETGMBH
Y-Waldlaubersheim,AMPRION GMBH
Y-Walsum,AMPRION GMBH
Y-Wechold,TENNETGMBH
Y-Welper,AMPRION GMBH
Y-Werben,AMPRION GMBH
Y-Wuergassen,TENNETGMBH
Zolling,TENNETGMBH
