nuts3,hh_mwh,cts_mwh,ind_mwh,total_mwh,total_gwh,population
DE71A,379694.2170873808,351358.8277525016,538372.397362704,1269425.4422025864,1269.4254422025865,232848.0
DED44,378829.97116275906,350559.0777924039,537146.9740367479,1266536.022991911,1266.536022991911,232318.0
DE124,370931.0895422541,343249.66494954884,525947.0672614055,1240127.8217532085,1240.1278217532085,227474.0
DE139,369682.00958327274,342093.79991287936,524175.9837374764,1235951.7932336284,1235.9517932336285,226708.0
DE131,369168.3539865633,341618.4768233873,523447.66610035155,1234234.4969103022,1234.2344969103021,226393.0
DEA14,367131.6687792946,339733.78304949676,520559.8288661644,1227425.2806949557,1227.4252806949557,225144.0
DE80L,366603.3373083938,339244.8793003049,519810.702153693,1225658.9187623917,1225.6589187623917,224820.0
DE142,361739.1003401926,334743.6450909249,512913.6497360947,1209396.3951672122,1209.3963951672122,221837.0
DEE09,360971.06292416126,334032.9238999702,511824.64145963173,1206828.6282837633,1206.8286282837632,221366.0
DE732,358958.8375072119,332170.8645589126,508971.48601768864,1200101.188083813,1200.101188083813,220132.0
DEA35,356136.1777043438,329558.8510099898,504969.2071927263,1190664.23590706,1190.6642359070602,218401.0
DEF03,352633.5357305936,326317.60022831085,500002.7745433795,1178953.9105022838,1178.9539105022839,216253.0
DE80O,349143.938978348,323088.4211441428,495054.8388498963,1167287.198972387,1167.287198972387,214113.0
DE922,348920.5395600966,322881.6933242685,494738.078480734,1166540.3113650992,1166.5403113650991,213976.0
DE21C,348113.3664795535,322134.7570407811,493593.5793366807,1163841.7028570152,1163.8417028570152,213481.0
DE80K,348100.32125805,322122.68534327013,493575.08238081716,1163798.0889821374,1163.7980889821374,213473.0
DE147,346026.13103895844,320203.2854390357,490634.06639852247,1156863.4828765164,1156.8634828765164,212201.0
DEB17,345576.070897079,319786.8118749093,489995.92142123205,1155358.8041932206,1155.3588041932205,211925.0
DEA17,343960.094083306,318291.4303457456,487704.61101364245,1149956.135442694,1149.956135442694,210934.0
DE40E,343920.9584187943,318255.2152532129,487649.120146052,1149825.2938180591,1149.8252938180592,210910.0
DEG01,342629.4814899256,317060.1171996329,485817.9215155666,1145507.520205125,1145.507520205125,210118.0
DEB35,342076.69022870547,316548.57901760814,485034.1130108512,1143659.382257165,1143.659382257165,209779.0
DE136,341863.074726582,316350.90497086704,484731.2253585866,1142945.2050560357,1142.9452050560355,209648.0
