trafo_id,bus0,bus1,s_nom,type,tap_ratio,phase_shift,num_parallel
31047,35572,35573,3120,"",1,0,1
31048,35463,35464,560,"",1,0,1
31049,35291,35292,520,"",1,0,1
31050,39264,39265,520,"",1,0,1
31051,39265,39266,520,"",1,0,1
31052,37321,37322,520,"",1,0,1
31053,37862,37863,1560,"",1,0,1
31054,37863,37864,1560,"",1,0,1
31055,34747,34748,3580,"",1,0,1
31056,35515,35516,260,"",1,0,1
31057,35516,35517,520,"",1,0,1
31058,34829,34830,1040,"",1,0,1
31059,38917,38918,800,"",1,0,1
31060,34867,34868,1040,"",1,0,1
31061,34868,34869,1040,"",1,0,1
31062,39404,39405,520,"",1,0,1
31063,39405,39406,2600,"",1,0,1
31064,35024,35025,1560,"",1,0,1
31065,35025,35026,3640,"",1,0,1
31066,36322,36323,560,"",1,0,1
31067,36480,36481,1040,"",1,0,1
31068,35552,35553,2600,"",1,0,1
31069,36121,36122,1300,"",1,0,1
31070,37176,37177,1040,"",1,0,1
31071,37455,37456,260,"",1,0,1
31072,37456,37457,1100,"",1,0,1
31073,35360,35361,1560,"",1,0,1
31074,35513,35514,3120,"",1,0,1
31075,36275,36276,1040,"",1,0,1
31076,35186,35187,1340,"",1,0,1
31078,38670,38671,1040,"",1,0,1
31079,39306,39307,2600,"",1,0,1
31080,35212,35213,2600,"",1,0,1
31081,36088,36089,3400,"",1,0,1
31082,38047,38048,800,"",1,0,1
31083,34730,34731,1300,"",1,0,1
31084,37925,37926,1040,"",1,0,1
31085,39288,39289,260,"",1,0,1
31086,34966,34967,2600,"",1,0,1
31087,39253,39254,2080,"",1,0,1
31088,39322,39323,3580,"",1,0,1
31089,37606,37607,780,"",1,0,1
31090,39220,39221,1040,"",1,0,1
31091,38835,38836,1040,"",1,0,1
31092,38939,38940,560,"",1,0,1
31093,38467,38468,3580,"",1,0,1
31094,35733,35734,1560,"",1,0,1
31095,38890,38891,520,"",1,0,1
31096,39375,39376,1040,"",1,0,1
31097,34753,34754,780,"",1,0,1
31098,34754,34755,1040,"",1,0,1
31099,35037,35038,1820,"",1,0,1
31100,35191,35192,1040,"",1,0,1
31101,35494,35495,2600,"",1,0,1
31102,35354,35355,820,"",1,0,1
31103,35112,35113,1560,"",1,0,1
31104,37027,37028,520,"",1,0,1
31105,37028,37029,520,"",1,0,1
31106,35472,35473,520,"",1,0,1
31107,36811,36812,1790,"",1,0,1
31108,36022,36023,1300,"",1,0,1
31109,38685,38686,520,"",1,0,1
31110,35621,35622,520,"",1,0,1
31111,35622,35623,520,"",1,0,1
31112,35792,35793,1850,"",1,0,1
31113,35310,35311,1820,"",1,0,1
31114,39311,39312,3660,"",1,0,1
31115,35148,35149,1560,"",1,0,1
31116,39308,39309,260,"",1,0,1
31117,37960,37961,2080,"",1,0,1
31118,36619,36620,1560,"",1,0,1
31119,34928,34929,1070,"",1,0,1
31120,39248,39249,1040,"",1,0,1
31121,39100,39101,520,"",1,0,1
31122,38111,38112,1850,"",1,0,1
31123,35365,35366,260,"",1,0,1
31124,37529,37530,1860,"",1,0,1
31125,37530,37531,10740,"",1,0,1
31126,36095,36096,540,"",1,0,1
31127,36096,36097,4680,"",1,0,1
31128,35888,35889,2880,"",1,0,1
31129,35002,35003,2600,"",1,0,1
31130,35003,35004,2600,"",1,0,1
31131,39231,39232,780,"",1,0,1
31132,38624,38625,520,"",1,0,1
31133,35331,35332,3120,"",1,0,1
31134,38837,38838,260,"",1,0,1
31135,35878,35879,2340,"",1,0,1
31136,37374,37375,2080,"",1,0,1
31137,37611,37612,1040,"",1,0,1
31138,37612,37613,1040,"",1,0,1
31139,39180,39181,1560,"",1,0,1
31140,35815,35816,3580,"",1,0,1
31141,39315,39316,260,"",1,0,1
31142,35165,35166,520,"",1,0,1
31143,35955,35956,780,"",1,0,1
31144,35676,35677,280,"",1,0,1
31145,34795,34796,1560,"",1,0,1
31146,35262,35263,2080,"",1,0,1
31147,35712,35713,1300,"",1,0,1
31148,35713,35714,1560,"",1,0,1
31149,38382,38383,520,"",1,0,1
31150,38642,38643,1040,"",1,0,1
31151,38643,38644,1040,"",1,0,1
31152,35341,35342,2080,"",1,0,1
31153,39387,39388,1040,"",1,0,1
31154,37664,37665,3380,"",1,0,1
