line_id,bus0,bus1,v_nom,parallel_count
1124,2500,37658,110,2
1129,34761,2529,380,2
1132,2527,36739,380,2
1134,37344,2527,380,2
1135,2533,2530,380,2
1137,2538,37219,380,2
1138,37219,2533,380,2
1143,2538,36740,380,2
1144,39616,2547,110,2
1145,5599,5606,220,4
1160,5597,5599,220,4
1171,36573,2545,110,2
1184,2545,2544,110,2
1186,36580,2544,110,4
1187,2544,36580,110,4
1188,2548,36573,110,2
1189,38944,39616,110,2
1190,2559,2560,380,2
1191,37842,2562,380,2
1196,35734,36944,380,2
1199,2562,2561,380,2
1202,2573,2559,380,2
1204,2566,36944,380,2
1205,2569,2573,380,2
1207,2572,2571,380,2
1209,2571,2568,380,2
1210,2568,2566,380,2
1211,2569,2572,380,2
1212,2561,2560,380,2
1214,2579,37517,110,2
1216,2579,37126,110,2
1218,36956,2579,110,2
1219,2584,39041,110,2
1220,2586,2587,110,2
1222,2587,36915,110,2
1223,39041,2586,110,2
1225,2598,2593,110,2
1227,2593,36540,110,2
1228,38275,2593,110,3
1229,35722,2598,110,2
1231,38863,35864,110,2
1234,5601,5609,220,4
1235,35691,37312,220,2
1236,2264,34810,220,8
1237,34810,2264,220,8
1238,2626,34984,110,2
1239,2628,2626,110,2
1241,2633,2635,110,2
1242,2631,35876,110,2
1243,36364,2630,110,2
1244,2631,2625,110,2
1245,36931,2625,110,3
1246,35876,2633,110,2
1248,2626,2630,110,2
1249,1071,37473,110,4
1250,34897,2647,110,2
1254,39213,220,220,2
1255,2662,35452,110,2
1256,2669,35451,110,2
1257,39093,2662,110,2
1259,2668,2669,110,2
1262,35450,39093,110,2
1264,2673,36605,110,2
1265,2673,35154,110,2
1266,2678,36478,110,4
1267,2675,2678,110,2
1269,36478,2678,110,4
1270,2675,2673,110,2
1272,2078,2690,380,2
1273,2689,38462,380,2
1274,2690,2087,380,2
1275,2078,36532,380,11
1279,569,39283,220,2
1283,2700,35939,110,2
1284,2700,36116,110,2
1287,36100,2692,110,2
1288,35158,2699,110,2
1291,2692,2700,110,2
1292,37901,2692,110,2
1295,35939,2699,110,2
1297,39123,2708,380,2
1302,2720,39123,380,2
1305,2720,37592,380,2
1306,2708,38462,380,2
1307,2724,2725,110,2
1308,2722,35052,110,2
1309,2725,2722,110,2
1310,5596,5597,220,4
1323,34911,1696,380,1
1326,1700,35793,380,1
1327,1696,35793,380,1
1339,39837,5210,220,3
1359,34972,4217,220,3
1361,5210,5211,220,4
1362,39837,5216,220,3
1365,34972,5216,220,3
1367,5211,36932,220,8
1391,39387,36933,110,2
1395,5224,5228,110,2
1396,2753,35617,220,2
1397,2789,35671,110,2
1399,39206,2789,110,2
1400,5228,36965,110,2
1401,5609,5596,220,4
1402,35502,112,110,2
1404,716,717,380,2
1406,34774,34775,110,3
1417,37834,38337,110,2
1419,35385,2794,110,4
1420,2794,35446,110,2
1422,2804,34761,380,2
1425,35057,2804,380,2
1428,36943,2820,110,5
1429,2820,2819,110,5
1430,2819,2818,110,3
1431,37832,2814,110,2
1432,35809,5601,220,2
1433,37998,2807,110,2
1434,2810,38360,110,2
1435,2808,38361,110,2
1436,38362,2811,110,2
1437,2805,2806,110,2
1438,2810,2813,110,2
1439,2805,2047,110,2
1441,2811,2818,110,3
1442,2810,2805,110,2
1443,2806,36862,110,2
1444,2814,2807,110,2
1445,2807,2808,110,2
1446,2808,2811,110,3
1447,2813,2814,110,2
1451,36564,2840,220,3
1452,2840,2844,220,2
1454,2833,2844,220,2
1458,36543,2833,220,4
1463,2850,35997,110,2
1464,2850,36367,110,2
1467,2861,2860,380,2
1468,2861,2490,380,2
1469,2857,2858,380,2
1471,35187,2490,380,9
1472,2856,2857,380,2
1473,2860,2858,380,2
1474,2866,2867,110,5
1475,37347,2866,110,4
1476,2871,2872,110,2
1477,5224,36967,110,2
1478,5233,5241,110,2
1479,2872,2874,110,2
1481,2871,35918,110,2
1482,2873,36088,110,4
1483,2873,2874,110,4
1484,35832,2871,110,2
1488,36720,2886,110,2
1489,2886,36716,110,1
1490,2889,2886,110,2
1497,36581,39001,220,3
1499,39001,2898,220,3
1501,35386,2893,220,4
1504,2892,2893,220,2
1506,2891,2892,220,2
1507,2913,2898,220,3
1508,2913,2891,220,2
1510,2913,2905,220,2
1512,2906,35332,220,2
1515,36579,2911,220,4
1516,2905,2906,220,2
1517,2911,36581,220,3
1531,104,107,220,2
1537,34759,2926,110,2
1547,35733,2926,110,2
1550,2928,2930,110,2
1551,38627,35079,110,2
1552,35080,2065,110,2
1553,2928,36580,110,2
1554,2930,37551,110,3
1555,2065,2928,110,2
1562,2063,2947,110,2
1563,2947,2953,110,2
1564,2947,36497,110,2
1565,2953,35784,110,2
1566,2952,34801,110,2
1571,2490,35667,380,2
1573,5236,34922,110,2
1574,5235,5236,110,3
1584,36551,38604,110,2
1585,5233,34877,110,2
1618,36122,2996,380,2
1619,35667,37815,380,2
1620,35187,2490,380,9
1621,34877,1679,110,2
1622,34952,5233,110,2
1624,1679,5235,110,2
1625,38641,5241,110,2
1626,2963,38823,380,2
1627,2963,35205,380,2
1631,2006,2978,110,2
1632,2970,2971,110,2
1633,2970,2977,110,2
1634,2975,2977,110,2
1638,34778,2975,110,4
1639,2978,2971,110,2
1640,34771,2006,110,12
1642,36125,2980,380,2
1643,2981,2995,380,2
1644,2980,2981,380,2
1645,2996,2995,380,2
1648,3011,3009,380,2
1650,34800,35387,380,4
1652,74,75,110,2
1653,39332,73,110,2
1655,3012,3013,380,2
1656,3008,3009,380,2
1657,34800,3008,380,2
1661,3013,3014,380,1
1664,3033,3032,220,2
1665,3033,3034,220,2
1667,3032,3031,220,2
1668,3039,3037,220,2
1669,37343,3039,220,2
1672,3026,3034,220,2
1674,3037,3036,220,2
1680,3036,3026,220,2
1682,3031,34830,220,2
1684,35582,34777,110,2
1686,134,135,110,2
1687,36061,134,110,2
1688,135,138,110,2
1689,35854,35856,110,2
1692,35852,3108,110,2
1695,39634,35854,110,2
1696,3108,35853,110,2
1698,35852,39042,110,1
1699,36505,38910,110,2
1700,3071,39305,380,2
1701,3084,3079,380,2
1702,3084,37344,380,4
1718,35847,35852,110,2
1719,35853,36505,110,2
1720,38910,39634,110,2
1721,3118,3117,110,2
1729,34975,703,110,2
1730,704,709,110,2
1731,34977,709,110,4
1732,35623,1323,380,2
1736,37199,3115,110,2
1737,37783,37782,110,2
1738,3117,37199,110,2
1739,37782,3115,110,2
1740,39355,3118,110,2
1742,35082,3138,110,2
1750,5777,5775,380,2
1751,35088,35240,110,2
1759,3138,3122,110,2
1760,3122,35088,110,2
1763,3157,3150,110,2
1764,3150,3151,110,2
1765,3151,36360,110,2
1766,3154,3155,110,2
1767,3153,3154,110,6
1768,3155,3156,110,2
1769,3156,3157,110,2
1771,469,39031,110,1
1772,34793,3153,110,8
1776,34769,34772,220,2
1779,36128,36129,110,2
1780,3184,37571,110,2
1782,36529,3188,110,2
1784,3192,34799,220,2
1786,2893,34799,220,2
1787,35386,2893,220,4
1791,3202,3207,110,2
1793,3207,35098,110,2
1794,3208,35357,110,2
1795,3207,3199,110,2
1796,3199,35356,110,2
1798,3199,3203,110,2
1799,3203,34768,110,2
1800,34765,3202,110,3
1803,35331,36565,110,2
1806,36565,37526,110,2
1807,35947,348,220,2
1813,34950,3240,220,2
1815,34768,34774,110,3
1816,38289,3245,110,2
1818,35198,34774,110,2
1820,3256,3257,220,2
1821,3257,3271,220,2
1822,34760,3256,220,2
1825,3271,37921,220,2
1828,37921,3258,220,3
1830,3284,36134,380,2
1832,3426,35385,110,4
1833,3258,3260,220,2
1834,3260,35003,220,4
1836,3260,3267,220,2
1838,36315,36501,110,1
1839,38014,5255,110,2
1840,5251,38013,110,2
1843,35878,5248,110,5
1844,5249,5251,110,2
1846,37960,35780,110,2
1847,3269,37475,220,2
1857,1084,35672,110,2
1858,35631,1084,110,4
1871,5248,5249,110,3
1872,5251,5255,110,2
1904,3267,3269,220,2
1950,3278,3279,380,2
1976,3282,3283,380,2
1978,37335,3279,380,2
1980,3283,3284,380,2
1991,34759,3287,110,2
1992,3287,37194,110,2
1993,3287,3289,110,2
1995,3291,37017,110,2
1997,3291,39059,110,2
2000,34808,3316,220,2
2007,35672,149,110,3
2008,149,148,110,3
2012,3316,3314,220,2
2014,3304,3313,220,2
2020,3306,3309,220,2
2027,3314,3313,220,2
2031,3309,3304,220,2
2032,34958,3306,220,2
2034,35875,3322,110,2
2035,3327,3322,110,4
2037,35278,3328,380,2
2038,35278,3332,380,2
2039,3329,35057,380,2
2041,36301,3332,380,2
2050,3328,3329,380,2
2053,3350,3351,110,2
2054,3350,3349,110,2
2056,3347,3349,110,2
2057,3341,3351,110,2
2061,37157,3353,110,2
2063,36530,3347,110,4
2067,3374,3381,110,2
2068,3374,36131,110,2
2070,36133,3374,110,2
2071,36132,3381,110,4
2077,1060,35583,110,2
2088,5248,5269,110,2
2089,5248,35878,110,5
2102,5276,35810,110,2
2113,35399,3405,110,2
2114,35399,34803,110,2
2116,3405,35331,110,2
2118,84,444,110,2
2120,3415,3417,380,2
2121,34800,3415,380,2
2122,3418,3417,380,2
2128,34959,3418,380,2
2129,443,444,110,3
2130,446,441,110,2
2133,3426,3424,110,4
2134,3424,3425,110,4
2135,3433,3425,110,4
2136,3428,3433,110,4
2137,3428,3429,110,2
2138,3449,3446,110,2
2140,3446,38269,110,2
2142,3446,3448,110,2
2143,3441,3439,110,2
2144,3441,34957,110,2
2147,3439,3445,110,2
2148,3445,3449,110,2
2149,36856,3463,110,2
2150,3452,3455,110,2
2151,3462,3458,110,2
2152,3462,3451,110,2
2153,3451,3452,110,2
2154,3453,3454,110,4
2155,3453,36857,110,2
2156,35049,3458,110,6
2157,3454,3453,110,4
2158,35049,3458,110,6
2159,3455,35276,110,2
2161,3468,38183,110,2
2162,35678,3467,110,2
2163,3468,3467,110,2
2165,3475,2898,220,2
2166,3475,37343,220,4
2171,36389,807,110,2
2172,803,807,110,2
2173,807,806,110,2
2174,804,802,110,2
2178,37063,3483,380,3
2179,38471,35057,380,3
2181,3483,38471,380,2
2184,5270,34963,110,1
2185,5269,5270,110,2
2229,3084,37344,380,4
2231,3084,3516,380,2
2254,34810,34752,220,2
2257,36372,23,110,3
2258,547,548,110,2
2263,3540,35799,380,4
2278,3556,3554,380,2
2279,3556,3557,380,2
2280,3548,659,380,2
2282,3557,3548,380,2
2283,3554,35187,380,2
2284,36082,3562,110,3
2285,3559,3562,110,2
2286,36869,3559,110,2
2289,3439,3568,110,2
2290,3565,35133,110,2
2292,3565,35650,110,2
2296,3439,3565,110,2
2297,3584,35199,110,2
2300,160,162,380,4
2301,3574,36082,110,4
2303,3574,3576,110,2
2311,3614,34794,380,3
2314,3609,34794,380,2
2315,3608,3609,380,2
2317,3540,3613,380,2
2318,3613,3614,380,3
2320,35654,3608,380,2
2322,3540,35799,380,4
2325,35326,3635,110,2
2326,3635,3636,110,2
2327,3636,3637,110,2
2328,3637,3638,110,2
2329,3638,3633,110,2
2331,3633,3640,110,2
2333,3640,34807,110,2
2335,3633,36959,110,2
2339,3646,36360,110,2
2340,3643,36377,110,2
2341,3643,3646,110,2
2345,36543,37343,220,2
2346,34786,38150,110,2
2351,35003,3649,220,1
2361,2913,39405,220,3
2362,39405,35401,220,1
2366,2006,35462,110,2
2367,2006,34771,110,12
2374,36016,667,380,2
2375,667,668,380,2
2376,668,669,380,2
2379,34777,34776,110,4
2381,670,36023,380,3
2385,3767,3768,110,2
2387,3260,3762,220,2
2388,3762,36350,220,2
2390,3764,3765,110,2
2391,35682,3765,110,2
2392,3768,36794,110,2
2393,35276,3764,110,3
2396,3771,34809,110,2
2397,34905,5514,110,2
2398,3765,3767,110,2
2401,3774,38192,110,2
2402,36967,3774,110,4
2403,3811,3812,110,2
2404,34933,3808,110,2
2405,3810,3809,110,2
2406,3809,3808,110,2
2408,3819,3825,220,3
2409,3819,35053,220,3
2410,3825,3829,220,3
2411,3826,37018,220,2
2415,37018,35050,220,2
2416,37457,882,380,6
2417,1147,1145,380,2
2421,3829,3826,220,2
2425,3832,34941,110,2
2426,3847,3839,110,2
2427,3846,3845,110,2
2428,3845,3842,110,2
2429,37995,3839,110,2
2430,3848,36088,110,3
2431,3842,36133,110,2
2433,3839,3846,110,2
2437,35204,3559,110,2
2439,37457,882,380,6
2440,3039,36543,220,2
2443,35495,38007,380,2
2450,35049,3889,110,2
2451,3888,3889,110,2
2460,4258,35522,110,2
2467,3475,37343,220,4
2476,3925,34788,220,3
2479,3944,37258,110,2
2480,5479,5480,110,2
2482,37410,3941,110,2
2483,3941,36127,110,2
2484,3944,37410,110,2
2487,35167,171,110,2
2489,3978,3981,220,2
2490,3981,3982,220,2
2491,35224,3978,220,2
2493,3982,39458,220,2
2494,3988,3984,110,2
2495,3984,3985,110,2
2496,35122,3984,110,2
2497,3985,36082,110,2
2498,36716,3988,110,2
2499,35060,36378,110,2
2501,37374,3998,110,2
2502,4000,4001,110,2
2503,4001,35822,110,2
2505,3998,4000,110,2
2506,4038,4034,380,2
2507,37841,34772,220,2
2511,4010,37951,220,1
