old_bus,new_bus,reason,new_id,voltage
8015,8016,substation_simplification,8016,
36075,8115,substation_simplification,8115,
8118,8117,substation_simplification,8117,
34849,8162,substation_simplification,8162,
11037,8172,substation_simplification,8172,
8217,35574,substation_simplification,35574,
16289,35574,substation_simplification,35574,
8242,8241,substation_simplification,8241,
8303,39292,substation_simplification,39292,
35940,8460,substation_simplification,8460,
39392,8463,substation_simplification,8463,
27626,34870,substation_simplification,34870,
8523,34870,substation_simplification,34870,
9139,8549,substation_simplification,8549,
8637,8636,substation_simplification,8636,
8748,8744,substation_simplification,8744,
38884,8747,substation_simplification,8747,
39082,8755,substation_simplification,8755,
8833,8834,substation_simplification,8834,
34949,8985,substation_simplification,8985,
9187,38564,substation_simplification,38564,
38478,9219,substation_simplification,9219,
37269,9335,substation_simplification,9335,
9445,17720,substation_simplification,17720,
9461,35212,substation_simplification,35212,
24871,34835,substation_simplification,34835,
9483,34835,substation_simplification,34835,
30160,34835,substation_simplification,34835,
25111,34835,substation_simplification,34835,
25176,34835,substation_simplification,34835,
25980,34835,substation_simplification,34835,
9587,9584,substation_simplification,9584,
35960,9614,substation_simplification,9614,
10637,37761,substation_simplification,37761,
10638,37761,substation_simplification,37761,
9621,37761,substation_simplification,37761,
37758,37761,substation_simplification,37761,
9644,9646,substation_simplification,9646,
39053,9646,substation_simplification,9646,
35006,9646,substation_simplification,9646,
9647,9648,substation_simplification,9648,
37787,9656,substation_simplification,9656,
9825,35895,substation_simplification,35895,
10209,35895,substation_simplification,35895,
12679,35895,substation_simplification,35895,
12427,35895,substation_simplification,35895,
10203,35895,substation_simplification,35895,
9842,36109,substation_simplification,36109,
32618,36109,substation_simplification,36109,
9867,9868,substation_simplification,9868,
9869,9868,substation_simplification,9868,
9870,9868,substation_simplification,9868,
9879,9872,substation_simplification,9872,
9871,9872,substation_simplification,9872,
10333,10332,substation_simplification,10332,
10946,9896,substation_simplification,9896,
10947,9896,substation_simplification,9896,
10948,9896,substation_simplification,9896,
38821,9896,substation_simplification,9896,
9897,9896,substation_simplification,9896,
9899,9896,substation_simplification,9896,
9900,9896,substation_simplification,9896,
9929,9930,substation_simplification,9930,
10652,38044,substation_simplification,38044,
38364,38044,substation_simplification,38044,
