unit_id,capacity_kw,lat,lon,mounting_type,voltage_level
SEE966337300056,9636.0,51.357231,13.34345,,MV
SEE996342183825,1315.0,48.579878,12.156135,,MV
SEE921956749747,2400.0,49.433,7.524,,MV
SEE981618303731,2400.0,51.619475,11.509865,,MV
SEE919786089720,7200.0,49.05,10.445,,MV
SEE974617299358,8340.0,54.164491,9.96119,,MV
SEE915209975151,9163.0,53.795127,12.473541,,MV
SEE993684035614,4257.0,51.216131,10.9465,,MV
SEE907190334796,3915.0,48.476614,11.099632,,MV
SEE961173891102,2880.0,53.460178,11.79825,,MV
SEE904325603079,8743.5,53.763345,13.655213,,MV
SEE953571469199,1200.0,50.382633,9.0,,MV
SEE998961392329,1260.0,50.350151,11.976555,,MV
SEE940338551020,4944.6,53.732767,13.505239,,MV
SEE946647029045,1380.0,50.34857,11.976658,,MV
SEE938997071485,1140.0,50.343652,11.995167,,MV
SEE975603772237,6900.0,49.117615,10.973493,,MV
SEE961571266564,7850.0,49.9408,6.7673,,MV
SEE984226455083,1260.0,49.174218,9.875509,,MV
SEE940174347337,6693.3,53.692133,13.523869,,MV
SEE991684850992,2000.0,53.797626,12.209169,,MV
SEE983637162214,6633.0,54.134702,12.80519,,MV
SEE998197333363,4740.0,54.413378,9.941516,,MV
SEE993172823846,1250.0,48.359892,11.54687,,MV
SEE954415125356,1512.0,53.1386,12.4881,,MV
SEE940249590484,2640.0,50.837538,6.449413,,MV
SEE974241827538,6582.0,52.135804,11.084187,,MV
SEE994384070295,2400.0,51.172822,13.85206,,MV
SEE945744099586,2150.0,52.643,11.917,,MV
SEE986446929948,4288.0,53.422672,13.27947,,MV
SEE980563107616,8070.0,53.435479,13.294413,,MV
SEE952395577844,1386.0,48.373,11.519,,MV
SEE901239356329,1900.0,49.262278,8.526718,,MV
SEE913870773694,1200.0,49.484,10.79,,MV
SEE982264114634,9504.0,49.201956,11.813043,,MV
SEE964610948186,9174.0,49.176118,11.861282,,MV
SEE998261976946,1320.0,50.366185,11.975027,,MV
SEE950743826699,3300.96,51.516656,8.118403,,MV
SEE963029652530,6720.0,54.560912,9.468847,,MV
SEE937738634224,7740.0,54.583929,9.465101,,MV
SEE925050773653,1080.0,50.985977,10.720822,,MV
SEE958653531139,4780.0,52.202085,11.037693,,MV
SEE919109365159,4720.0,51.7729,14.1666,,MV
SEE908520665795,1470.0,48.353551,11.536566,,MV
SEE980589824115,1100.8,47.669461,10.411892,,MV
SEE909336409344,1374.3,48.35807,11.185154,,MV
SEE924321300673,4500.0,49.635977,11.018646,,MV
SEE980322791216,2100.0,49.506519,7.243636,,MV
SEE961162385674,2700.0,49.786399,6.735067,,MV
SEE940273854590,1748.7,53.732767,13.505239,,MV
SEE990347283566,2960.0,53.8175,11.8455,,MV
SEE904151322243,7854.0,51.362547,13.339079,,MV
SEE923059590691,2000.0,51.301259,13.538999,,MV
SEE907486760377,3762.0,50.571603,10.490278,,MV
SEE952253333452,1124.9,51.435,12.01,,MV
SEE994037756965,1030.0,48.42073,12.605551,,MV
SEE911677278312,18546.0,51.358546,13.332229,,MV
SEE992992001519,2980.0,51.861553,11.054499,,MV
SEE936880521734,3180.0,51.298695,13.06378,,MV
SEE920883283591,12140.0,51.868,11.052,,MV
SEE977216880767,5760.0,51.866182,13.766429,,MV
SEE949387662237,1980.0,51.591,6.214,,MV
SEE952955366420,4400.0,54.4344,9.4756,,MV
SEE924229437143,1000.0,48.57107,11.95076,,MV
SEE916941166982,1260.0,50.019543,11.363772,,MV
SEE978005280812,7700.0,48.56818,11.95065,,MV
SEE949374904487,1964.16,50.969395,10.973938,,MV
SEE922298126807,1638.9,54.116082,13.069744,,MV
SEE971689071806,1350.0,48.167,12.161,,MV
SEE952548117491,1560.0,49.566823,8.383393,,MV
SEE919195263032,1320.0,53.586,12.086,,MV
SEE906295287921,1100.0,50.657339,10.369488,,MV
SEE932087604812,2500.0,50.194323,11.643569,,MV
SEE911958847770,1141.6,51.649635,12.986761,,MV
SEE977931002413,1206.0,52.673333,14.14722,,MV
SEE963714653613,1748.7,52.668611,14.104444,,MV
SEE931512611760,5540.0,52.461258,12.223619,,MV
SEE963491774464,2152.0,52.460776,12.22263,,MV
SEE909048085294,1172.0,52.459706,12.223692,,MV
SEE988286953930,1275.0,51.0,12.0,,MV
SEE962032149693,2592.9,52.6549,14.031,,MV
SEE940672543453,1200.0,52.671008,14.148043,,MV
SEE999245695310,6360.0,52.671293,14.043466,,MV
SEE998983107932,1401.0,48.152,12.75,,MV
SEE952447899801,1260.0,48.57821,12.158737,,MV
SEE904424886755,1600.0,48.59102,11.011946,,MV
SEE906360354602,4375.0,51.63923,12.285695,,MV
SEE980030156192,3600.0,49.341982,7.039896,,MV
SEE938159505643,2244.0,51.770579,11.791426,,MV
SEE910746088234,2313.0,49.344,7.35,,MV
SEE982247969770,1269.0,49.203,8.163,,MV
SEE939409027465,1600.0,49.212543,7.121368,,MV
SEE938233883049,1344.0,49.212772,7.115777,,MV
SEE938936320421,2000.0,47.986218,10.716015,,MV
SEE997256223775,1250.0,49.123,11.656,,MV
SEE996429111710,1680.0,51.629537,13.514327,,MV
SEE923294206654,1400.0,48.593,11.721,,MV
SEE925803197675,1350.0,49.18425,11.3427,,MV
SEE976210700354,1240.0,53.8298,12.794,,MV
SEE994062407955,1698.0,48.516152,13.106453,,MV
SEE999683530716,1320.0,51.398789,12.391355,,MV
SEE944427449144,1548.5,51.29,8.26,,MV
SEE920277683518,1000.0,48.089448,10.118141,,MV
SEE928166652737,1904.0,51.121297,12.022555,,MV
SEE997716320440,1400.0,52.195881,14.261072,,MV
SEE933774977325,1012.5,51.977,8.456,,MV
SEE917483881364,4725.0,51.63799,12.282866,,MV
SEE935419636857,6330.0,51.338215,11.349634,,MV
SEE952436763441,1000.0,47.742307,8.947915,,MV
SEE930548186976,1250.0,54.076,13.839,,MV
SEE916477325488,4920.0,49.156275,11.428998,,MV
SEE919486098046,1948.8,48.650409,11.964465,,MV
SEE976686966940,2280.0,53.535779,8.103791,,MV
SEE985046979698,1000.0,49.315624,10.845922,,MV
SEE956187866871,2400.0,51.795531,14.049291,,MV
SEE962355899213,2624.4,48.640234,12.389164,,MV
SEE954858698424,6964.0,53.520336,10.881573,,MV
SEE968200769250,1938.0,53.540824,12.645295,,MV
SEE924453482551,3367.2,53.54176,12.643297,,MV
SEE950294584314,1029.0,51.595,11.816,,MV
SEE946386840475,1260.0,51.837,12.196,,MV
SEE901149628769,2134.44,47.653,8.428,,MV
SEE979204074165,6180.0,49.695,7.786111,,MV
SEE991835964325,1198.0,51.091,11.11,,MV
SEE984895523601,2244.0,51.9522,8.9418,,MV
SEE933224276022,3991.6,51.392779,9.542434,,MV
SEE959374093548,1500.0,49.70544,10.106644,,MV
SEE926210618784,1620.0,51.29245,11.094019,,MV
SEE998531722914,8033.908,48.322302,9.586554,,MV
SEE944926226659,1750.0,52.510576,10.604118,,MV
SEE904105802111,2367.0,50.934,12.079,,MV
SEE947606180524,1480.0,49.564171,12.246459,,MV
SEE979065692041,1245.93,48.4165,7.997877,,MV
SEE952654552049,2883.45,48.87229,11.86914,,MV
