jao_osm_id,cluster_id,cluster_name,cluster_osm_id,confidence,tier,distance_km,method,cluster_degree,cluster_voltages
24258096,osm_24258096,Umspannwerk Hattorf,24258096,1.0,0,0.0,osm_id,2,[380.0]
456386244,osm_456386244,Sandershausen/Ost,456386244,1.0,0,0.0,osm_id,6,[380.0]
28812249,osm_28812249,Wechold,28812249,1.0,0,0.0,osm_id,1,[220.0]
802246764,osm_802246764,Göttingen,802246764,1.0,0,0.0,osm_id,4,[220.0]
24705761,osm_24705761,Umspannwerk Raitersaich,24705761,1.0,0,0.0,osm_id,8,"[220.0, 380.0]"
29084374,osm_29084374,Umspannwerk Etzenricht,29084374,1.0,0,0.0,osm_id,7,"[220.0, 380.0]"
60032354,osm_60032354,Itzehoe/West,60032354,1.0,0,0.0,osm_id,2,[220.0]
133342285,osm_133342285,Zolling,133342285,1.0,0,0.0,osm_id,3,[220.0]
907539360,osm_907539360,Schuby/West,907539360,1.0,0,0.0,osm_id,3,[380.0]
24493551,osm_24493551,Ganderkesee,24493551,1.0,0,0.0,osm_id,4,[380.0]
309902667,spatial_10705,,,0.9,1,0.0,spatial_0.5km,5,[220.0]
27646106,osm_27646106,Kiel West,27646106,1.0,0,0.0,osm_id,3,[220.0]
24757392,osm_24757392,Umspannwerk Redwitz,24757392,1.0,0,0.0,osm_id,4,[380.0]
91086220,osm_91086220,Umspannwerk Simbach,91086220,1.0,0,0.0,osm_id,2,[220.0]
533737514,osm_42681484,Vörden,42681484,0.767,1,0.369,spatial_0.5km,3,[380.0]
137602559,osm_137602559,Umspannwerk Irsching,137602559,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
151765495,osm_151765495,Götzdorf,151765495,1.0,0,0.0,osm_id,4,[220.0]
24262656,osm_24262656,Wahle 380 kV,24262656,1.0,0,0.0,osm_id,10,"[220.0, 380.0]"
26245195,osm_26245195,Umspannwerk Ottenhofen,26245195,1.0,0,0.0,osm_id,7,"[220.0, 380.0]"
24765111,osm_24765111,Umspannwerk Trennfeld,24765111,1.0,0,0.0,osm_id,2,[220.0]
28227099,osm_28227099,Hallendorf,28227099,1.0,0,0.0,osm_id,6,[220.0]
74893659,osm_74893659,Umspannwerk Kraftwerk Herrenwyk,74893659,1.0,0,0.0,osm_id,2,[380.0]
249797355,spatial_14679,,,0.651,2,0.699,spatial_2.0km,3,[380.0]
28343121,osm_28343121,Stadorf,28343121,1.0,0,0.0,osm_id,3,[380.0]
229565743,osm_229565743,Blockland,229565743,1.0,0,0.0,osm_id,2,[220.0]
35176751,osm_35176751,Audorf Süd,35176751,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
77697810,osm_77697810,Isar,77697810,1.0,0,0.0,osm_id,2,[380.0]
29309786,osm_29309786,Umspannwerk Mecklar,29309786,1.0,0,0.0,osm_id,3,[380.0]
29420322,osm_29420322,Inhausen,29420322,1.0,0,0.0,osm_id,2,[220.0]
27124619,osm_27124619,Kiel-Süd,27124619,1.0,0,0.0,osm_id,3,[220.0]
42681484,osm_42681484,Vörden,42681484,1.0,0,0.0,osm_id,3,[380.0]
24976300,osm_24976300,Umspannwerk Pleinting,24976300,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
24757393,osm_24757393,Umspannwerk Würgau,24757393,1.0,0,0.0,osm_id,3,[380.0]
153328698,osm_153328698,Gemeinschaftskraftwerk Neckarwestheim 2 (GKN2),153328698,1.0,0,0.0,osm_id,1,[380.0]
1654012132,spatial_13868,,,0.9,1,0.0,spatial_0.5km,3,[380.0]
272646943,osm_272646944,NA,272646944,0.853,1,0.13,spatial_0.5km,2,[380.0]
25557397,osm_25557397,Umspannwerk Großgartach,25557397,1.0,0,0.0,osm_id,7,[380.0]
156676050,osm_156676050,Heidelberg-Süd,156676050,1.0,0,0.0,osm_id,4,[220.0]
163093653,osm_163093653,GKM Station B,163093653,1.0,0,0.0,osm_id,3,[220.0]
207248812,osm_207248812,Neurott,207248812,1.0,0,0.0,osm_id,6,"[220.0, 380.0]"
32725957,osm_32725957,Umspannwerk Oberwald,32725957,1.0,0,0.0,osm_id,3,[220.0]
409305507,osm_409305507,Umspannwerk Altlußheim,409305507,1.0,0,0.0,osm_id,4,[220.0]
32966636,osm_32966636,220 kV-Umspannwerk Birkenfeld,32966636,1.0,0,0.0,osm_id,1,[220.0]
31105067,osm_31105067,Umspannwerk Niederstotzingen,31105067,1.0,0,0.0,osm_id,5,[380.0]
37721677,osm_37721677,Umspannwerk Altbach 1,37721677,1.0,0,0.0,osm_id,4,[380.0]
38325076,osm_38325076,Umspannwerk Rotensohl,38325076,1.0,0,0.0,osm_id,4,[380.0]
42049947,osm_42049947,Umspannwerk Villingen,42049947,1.0,0,0.0,osm_id,1,[380.0]
31131325,osm_31131325,380kV-Umspannwerk Grünkraut,31131325,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
32725958,osm_32725958,Umspannwerk Karlsruhe Ost,32725958,1.0,0,0.0,osm_id,1,[220.0]
26404600,osm_26404600,Umspannwerk Laichingen,26404600,1.0,0,0.0,osm_id,5,[380.0]
1104947187,osm_1104947187,Heilbronn,1104947187,1.0,0,0.0,osm_id,4,[380.0]
32151621,osm_32151621,220-kV-Umspannwerk Kuppenheim,32151621,1.0,0,0.0,osm_id,4,[220.0]
102743264,osm_102743264,Beuren,102743264,1.0,0,0.0,osm_id,2,[220.0]
146962222,osm_933248930,Erweiterung Umspannwerk Weier,933248930,0.872,1,0.077,spatial_0.5km,4,"[220.0, 380.0]"
160929097,osm_160929097,Umspannwerk Weinheim,160929097,1.0,0,0.0,osm_id,3,[220.0]
87653464,osm_242756113,380-kV-Umspannwerk Eichstetten,242756113,0.775,1,0.348,spatial_0.5km,6,"[220.0, 380.0]"
32731290,osm_32731290,Karlsruhe-West,32731290,1.0,0,0.0,osm_id,2,[220.0]
143854536,osm_143854536,Umspannwerk Kupferzell,143854536,1.0,0,0.0,osm_id,5,"[220.0, 380.0]"
30734324,osm_30734324,Umspannwerk Metzingen,30734324,1.0,0,0.0,osm_id,2,[380.0]
990853393,spatial_1256,,,0.9,1,0.0,spatial_0.5km,3,[380.0]
254326606,osm_254326606,Umspannwerk Bruchsal-Kändelweg,254326606,1.0,0,0.0,osm_id,2,[380.0]
31367937,osm_31367937,Umspannwerk Gurtweil,31367937,1.0,0,0.0,osm_id,3,[220.0]
26814283,osm_26814283,Umspannwerk Oberjettingen,26814283,1.0,0,0.0,osm_id,2,[380.0]
809941086,osm_272646944,NA,272646944,0.873,1,0.074,spatial_0.5km,2,[380.0]
39011884,osm_39011884,Umspannwerk Bühl,39011884,1.0,0,0.0,osm_id,2,[220.0]
497073732,spatial_13654,,,0.9,1,0.0,spatial_0.5km,5,[380.0]
35954395,osm_35954395,Umspannwerk Trossingen,35954395,1.0,0,0.0,osm_id,2,[380.0]
42736239,osm_42736239,Umspannwerk Engstlatt,42736239,1.0,0,0.0,osm_id,3,[380.0]
97825259,osm_97825259,Umspannwerk Marbach,97825259,1.0,0,0.0,osm_id,3,[220.0]
48428875,osm_48428875,380 kV-Umspannwerk Endersbach (TransnetBW GmbH),48428875,1.0,0,0.0,osm_id,2,[380.0]
46584363,osm_46584363,Umspannwerk Wiesloch,46584363,1.0,0,0.0,osm_id,2,"[220.0, 380.0]"
31131320,osm_31131320,Obermooweiler,31131320,1.0,0,0.0,osm_id,3,[380.0]
88901626,osm_88901626,Schwörstadt,88901626,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
26260052,osm_26260052,Umspannwerk Wendlingen,26260052,1.0,0,0.0,osm_id,7,[380.0]
22960899,osm_22960899,Umspannwerk Mühlhausen,22960899,1.0,0,0.0,osm_id,2,[380.0]
143903369,osm_143903369,Umspannwerk Hüffenhardt,143903369,1.0,0,0.0,osm_id,7,"[220.0, 380.0]"
258826698,spatial_8410,,,0.9,1,0.0,spatial_0.5km,3,[380.0]
48057110,osm_48057110,Philippsburg,48057110,1.0,0,0.0,osm_id,4,[380.0]
26403575,osm_26403575,Netze BW Umspannwerk Bünzwangen,26403575,1.0,0,0.0,osm_id,1,[380.0]
42050342,osm_42050342,Umspannwerk Goldshöfe,42050342,1.0,0,0.0,osm_id,4,"[220.0, 380.0]"
31367936,osm_31367936,Stockach 220kV,31367936,1.0,0,0.0,osm_id,2,[220.0]
98648381,spatial_14438,,,0.407,3,4.661,spatial_5.0km,1,[380.0]
50319857,spatial_14889,,,0.751,1,0.414,spatial_0.5km,6,[380.0]
95840891,spatial_12682,,,0.84,1,0.165,spatial_0.5km,2,[380.0]
397960460,spatial_11870,,,0.843,1,0.158,spatial_0.5km,2,[380.0]
