bus_id,v_nom,lat,lon,is_substation,substation_name,osm_substation_id
38093,220,50.56842168950337,12.242788314127917,1,Umspannwerk Herlasgrün,167352587
39504,110,50.806392900000006,12.903581950000003,1,Unnamed,1206170265
38178,110,51.04660762877387,13.151152751414779,1,Etzdorf,173839168
38180,110,50.9678077,13.1080622,1,Unnamed,173839173
37721,110,50.91576763371772,13.31808396999535,1,Umspannwerk Freiberg West,149527175
37654,110,50.958439383700544,13.898318729762556,1,UW Heidenau,147129318
37657,110,50.911590878303116,14.023898180259492,1,UW Leupoldishain,147433551
37707,110,51.02801526119439,13.811660762265833,1,Unnamed,149377226
40025,110,51.03339403050587,13.816585218476602,1,Umspannwerk DD-Tolkewitz,42805756
37416,110,51.0164050088594,14.213207315237925,1,Umspannwerk Neustadt/Sa.,120294826
38975,110,51.18034519345395,14.498184215563441,1,Litten,651616915
37581,110,51.28334584901673,14.3182105019073,1,Umspannwerk Zescha,141797196
39109,110,51.27190607978403,13.910126801119187,1,Unnamed,788581403
35303,110,51.03589206080152,14.549949019614074,1,Umspannwerk Friedersdorf,28217542
39798,110,51.542505182076084,14.167151505411885,1,Umspannstation Proschim,272110578
34780,110,51.24434030242099,12.263595651452148,1,Unnamed,22879352
37967,110,51.17080425000001,12.378067,1,BGH Edelstahl Lippendorf GmbH,157266451
36400,110,51.32359843679978,12.31671343338569,1,Umspannwerk Leipzig West,54702868
19670,110,51.062252,12.105904,0,Unnamed,
40358,110,52.42120506608602,13.160448873895971,0,Unnamed,
5966,110,51.5388141,6.9954799,0,Unnamed,
2390,380,51.470159100000004,6.9947071,0,Unnamed,
2063,110,51.4807885,7.1044713,0,Unnamed,
3026,220,51.1715366,6.9713997,0,Unnamed,
38124,110,50.69116756367471,10.941104352718135,1,Umspannwerk Ilmenau,172034256
37532,110,50.695971721669906,11.616870816851728,1,Pößneck,137247086
38936,110,51.01720054700506,10.534046642904418,1,Unnamed,589266595
37392,110,51.382789392054285,10.157195783303363,1,Heiligenstadt,116749730
38687,110,51.296655488433025,10.385017047214546,1,Breitenbich,301654545
39270,110,51.36660956660498,10.47794734959514,1,Unnamed,946413669
37402,110,52.43681920453855,13.279012166119925,1,Unnamed,119055662
40082,110,52.45131399908975,13.2875238,1,Unnamed,2138090713
19751,110,51.8300983,12.0868684,0,Unnamed,
37198,110,51.553613912644146,6.984706772080384,1,Unnamed,104112267
35065,110,51.49920569667793,6.926758989258765,1,Station Büscherhof,24921206
39741,110,51.45235824917898,7.221399400000001,1,Station Bochum,90296875
1885,110,51.75306380000001,6.5257046,0,Unnamed,
1900,110,51.8173314,6.6012908,0,Unnamed,
3314,220,51.740717200000006,6.448525900000001,0,Unnamed,
6038,110,51.503478,6.9290783000000005,0,Unnamed,
5969,110,51.5247791,6.993811600000001,0,Unnamed,
10036,110,51.3417163,8.380139,0,Unnamed,
2355,110,51.1794827,8.2050965,0,Unnamed,
18483,380,51.4145315,7.4459844,0,Unnamed,
28681,110,50.594253800000004,8.4778309,0,Unnamed,
19622,110,50.354268700000006,8.7997028,0,Unnamed,
13133,380,50.2172296,9.127318,0,Unnamed,
38228,110,50.73478747181443,12.470411852955168,1,ZEV Umspanwerk Sachsenring,175298830
38092,110,50.56842168950337,12.242788314127917,1,Umspannwerk Herlasgrün,167352587
37968,110,50.89986003065959,13.358386837992489,1,Wacker Freiberg,157327359
37969,110,50.90922446705458,13.36251396263943,1,Freiberg Hütte,157327362
34817,110,51.02377056270055,13.729904839952239,1,Umspannwerk Dresden Räcknitz,23117235
36733,110,50.87148446278091,13.671741587846903,1,UW Ulberndorf,87685891
40369,110,51.068817,12.1119316,0,Unnamed,
5968,110,51.528932600000005,6.993964900000001,0,Unnamed,
2387,380,51.468070000000004,6.968645,0,Unnamed,
2811,110,51.170460000000006,7.3075413000000005,0,Unnamed,
40250,110,51.29603442831605,7.197460388263115,0,Unnamed,
7705,110,51.2086758,7.028139,0,Unnamed,
1833,110,51.3660067,7.030188300000001,0,Unnamed,
2593,110,51.426333400000004,7.0674478,0,Unnamed,
5615,220,51.386926,6.725609,0,Unnamed,
