unit_id,capacity_mw,fuel_type,commissioning_date,lat,lon
SEE977677096905,0.00075,Erdgas,2018-11-14,,
SEE979454637790,0.016,Mineralölprodukte,2018-11-26,,
SEE998369692267,0.00075,Erdgas,2018-06-26,,
SEE937442468733,0.0055,Erdgas,2014-03-17,,
SEE919449612173,0.00075,Erdgas,2018-10-24,,
SEE973181159518,0.0075,Erdgas,2019-01-23,,
SEE946637865837,0.0055,Erdgas,2016-11-28,,
SEE939926617514,0.001,andere Gase,2015-12-20,,
SEE907209674844,0.00075,Erdgas,2018-08-27,,
SEE916152891840,0.0055,Erdgas,2018-06-15,,
SEE955287720380,0.0055,Erdgas,2006-01-30,,
SEE992314184371,0.00075,Erdgas,2018-12-04,,
SEE910873042178,0.00075,Erdgas,2018-11-15,,
SEE908760024055,0.00095,andere Gase,2013-07-31,,
SEE999444864074,0.0055,Erdgas,2004-04-01,,
SEE911710048308,0.001,Erdgas,2011-03-25,,
SEE986281303125,0.0053,Mineralölprodukte,2005-10-13,,
SEE940218244356,0.02,Erdgas,2016-12-02,,
SEE942814299716,0.0055,Erdgas,2015-11-26,,
SEE911378352106,0.00075,Erdgas,2018-10-01,,
SEE910018672673,0.00075,Erdgas,2018-07-11,,
SEE980950819191,0.000972,Erdgas,2010-07-22,,
SEE978673124449,0.00075,Erdgas,2019-01-14,,
SEE966861720498,0.0055,Erdgas,2007-04-26,,
SEE985019456577,0.0055,Mineralölprodukte,2006-08-25,,
SEE938878177671,0.00075,Erdgas,2018-05-25,,
SEE980950275379,0.00075,Erdgas,2018-10-10,,
SEE908575496191,0.0053,Mineralölprodukte,2004-06-23,,
SEE903860436524,0.00075,Erdgas,2018-07-17,,
SEE979072868255,0.00075,Erdgas,2018-11-02,,
SEE957360753773,0.0011,Erdgas,2015-11-30,,
SEE963341336880,0.00075,Erdgas,2019-01-18,,
SEE962400973523,0.0055,Erdgas,2012-06-06,,
SEE903436347162,0.0055,Erdgas,2016-12-21,,
SEE947770175944,0.0045,Erdgas,2006-09-11,,
SEE938740748107,0.00513,Erdgas,2014-01-24,,
SEE977384546847,0.005,Erdgas,2006-10-09,,
SEE917097255414,0.00075,Erdgas,2018-07-04,,
SEE996083988215,0.0055,Erdgas,2012-07-31,,
SEE907796023803,0.001,Erdgas,2013-01-08,,
SEE976344177138,0.001,Erdgas,2014-04-04,,
SEE999693973886,0.00521,Mineralölprodukte,2006-05-16,,
SEE961030350667,0.005,Erdgas,2012-02-21,,
SEE959349679968,0.0053,Erdgas,2015-10-30,,
SEE942936610673,0.001,Erdgas,2013-01-23,,
SEE989980201396,0.00075,Erdgas,2018-08-17,,
SEE984374951178,0.0047,andere Gase,2013-02-16,,
SEE998818047136,0.00075,Erdgas,2018-11-07,,
SEE904380430474,0.011,Erdgas,2012-06-15,,
SEE938065468001,0.0055,Erdgas,2009-01-08,,
SEE922434246963,0.001,Erdgas,2019-01-16,,
SEE987319051827,0.0054,Erdgas,2018-11-09,,
SEE957676997267,0.001,Erdgas,2012-09-19,,
SEE952126365832,0.00075,Erdgas,2018-07-02,,
SEE915314802113,0.36,Erdgas,2016-05-17,51.935,6.822
SEE935455293625,0.00075,Erdgas,2018-09-25,,
SEE980219126374,0.001,Erdgas,2014-05-09,,
SEE998532361914,0.001,Erdgas,2013-05-23,,
SEE957070784944,0.0055,Erdgas,2016-08-17,,
SEE994377291713,0.0055,Erdgas,2004-06-03,,
SEE950994456744,0.0053,Mineralölprodukte,2005-01-19,,
SEE920537203074,0.00075,Erdgas,2018-10-18,,
SEE972842018218,0.0055,Erdgas,2001-01-28,,
SEE910876832875,0.05,Erdgas,2016-05-31,52.34,8.479
SEE980217568350,0.0055,Erdgas,2017-03-09,,
SEE974210656879,0.00093,Erdgas,2012-10-16,,
SEE995170404041,0.00076,Erdgas,2018-11-09,,
SEE919784745222,0.00075,Erdgas,2018-12-18,,
SEE932019168160,0.0055,Erdgas,2016-12-08,,
SEE977688526101,0.001,Erdgas,2013-01-31,,
SEE965684496863,0.00075,Erdgas,2018-12-21,,
SEE921920559884,0.00075,Erdgas,2018-11-24,,
SEE913735438454,0.00075,Erdgas,2018-06-28,,
SEE945228845210,0.00075,Erdgas,2018-11-27,,
SEE993326764025,0.00075,Erdgas,2018-05-29,,
SEE953714404537,0.00075,Erdgas,2018-01-23,,
SEE930404127464,0.0072,andere Gase,2015-12-16,,
SEE923905365206,0.0055,Erdgas,2004-05-26,,
SEE984061088552,0.00075,Erdgas,2018-08-11,,
SEE984816866091,0.005,Erdgas,2011-12-20,,
SEE949242210306,0.00075,Erdgas,2018-11-13,,
SEE903434242773,0.005,Erdgas,2011-12-30,,
SEE965786805013,0.0052,Mineralölprodukte,2005-12-15,,
SEE948463166928,0.00075,Erdgas,2017-11-09,,
SEE992216279991,0.00075,Erdgas,2019-01-23,,
SEE931907087767,0.00075,Erdgas,2018-12-11,,
SEE965130716774,0.00075,Erdgas,2018-12-12,,
SEE974862846352,0.00075,Erdgas,2015-10-21,,
SEE997907698440,0.00075,Erdgas,2018-11-29,,
SEE996076981940,0.00075,Erdgas,2017-05-04,,
SEE960417146626,0.001,Erdgas,2013-11-11,,
SEE973930524628,0.00075,Erdgas,2018-09-14,,
SEE906093108459,0.00075,Erdgas,2019-01-28,,
SEE967560111259,0.001,Erdgas,2016-09-20,,
SEE908807821401,0.001,Erdgas,2012-12-07,,
SEE966441767073,0.0055,Erdgas,2010-12-07,,
SEE970227732964,0.00075,Erdgas,2018-09-26,,
SEE900011863215,0.003,Erdgas,2012-12-03,,
SEE922793036151,0.0181,Erdgas,2013-04-09,,
SEE922863543046,0.00075,Erdgas,2018-11-13,,
