ags,name,type,nuts3,area_km2,hh_mwh,cts_mwh,industry_mwh,total_mwh,total_gwh,density_mwh_per_km2
09772117,Aystetten,Gemeinde,DE276,8.885436854390791,3320.8275285406103,3073.0045786495193,4708.636047930715,11102.468155120845,11.102468155120844,1249.5129206432314
09676118,Dorfprozelten,Gemeinde,DE269,11.336082551603512,3319.4841514663276,3071.7614535956995,4706.731259541798,11097.976864603825,11.097976864603824,978.9957698423776
01059023,Ellingstedt,Gemeinde,DEF0C,21.41361831447702,3319.0551086022674,3071.364428855828,4706.122915182317,11096.542452640413,11.096542452640414,518.2002541410023
08327009,Deilingen,Gemeinde,DE137,10.931253316040504,3317.347769425931,3069.784503050867,4703.702061126329,11090.834333603128,11.090834333603128,1014.5986020951921
07143206,Bad Marienberg (Westerwald),Stadt,DEB1B,10.056874634322954,3317.3016416680084,3069.7418176629353,4703.636656096433,11090.680115427378,11.090680115427379,1102.7959001871382
01054056,Husum,Stadt,DEF07,25.937572857667693,3317.1030594618446,3069.5580550243917,4703.355084311569,11090.016198797804,11.090016198797805,427.56568857287516
03251024,Maasen,Gemeinde,DE922,18.915548277743756,3314.832985896422,3067.457389934003,4700.136323285973,11082.426699116399,11.082426699116398,585.889794807381
03452013,Juist,Gemeinde,DE947,13.939227909931859,3314.206341358864,3066.877509914177,4699.247797449143,11080.331648722184,11.080331648722183,794.9028253442445
12073603,Passow,Gemeinde,DE40I,51.639674481922825,3312.784271836329,3065.5615649828774,4697.231430215699,11075.577267034905,11.075577267034905,214.47806126105738
08425014,Beimerstetten,Gemeinde,DE145,14.354820540597657,3312.730955515887,3065.512227492313,4697.155832447899,11075.3990154561,11.0753990154561,771.5456270688411
01059073,Schaalby,Gemeinde,DEF0C,21.358269819241603,3310.4762358883377,3063.425770523535,4693.958841931223,11067.860848343096,11.067860848343097,518.2002541410022
09574123,Feucht,Gemeinde,DE259,9.657720020077182,3309.9849612610747,3062.9711581818924,4693.262258504513,11066.21837794748,11.06621837794748,1145.8417053861788
08437101,Scheer,Stadt,DE149,18.696804871275923,3309.638357359469,3062.6504202430915,4692.770805211188,11065.05958281375,11.06505958281375,591.8155352743241
03355040,Wendisch Evern,Gemeinde,DE935,14.903756698353856,3308.5725817090747,3061.6641800889965,4691.2596307815265,11061.496392579598,11.061496392579599,742.1951804809963
09376168,Steinberg am See,Gemeinde,DE239,20.4200056486536,3307.5157647545466,3060.6862300713774,4689.7611589803355,11057.96315380626,11.057963153806261,541.5259595942066
13072084,Reimershagen,Gemeinde,DE80K,32.581876518020294,3307.197335550515,3060.391564240775,4689.309654885059,11056.89855467635,11.056898554676351,339.35732794767154
07138034,Kleinmaischeid,Gemeinde,DEB18,7.0418562767674215,3305.2703972269396,3058.60842728463,4686.577428903869,11050.45625341544,11.050456253415438,1569.2533075225122
03358005,Buchholz (Aller),Gemeinde,DE938,27.18879662919099,3304.6544632545224,3058.038458534037,4685.7040896892495,11048.39701147781,11.04839701147781,406.35844102110076
09780116,Bolsterlang,Gemeinde,DE27E,20.287452820639217,3304.6317862349565,3058.0174738293654,4685.671935706286,11048.321195770608,11.048321195770608,544.588879316122
01060033,Hardebek,Gemeinde,DEF0D,10.188829266954894,3303.033485614554,3056.538449374659,4683.405688557945,11042.977623547158,11.042977623547158,1083.8318450739475
09471208,Walsdorf,Gemeinde,DE245,16.234477785905923,3302.3451283510076,3055.9014620561547,4682.429659602173,11040.676250009334,11.040676250009334,680.0758481799996
07131047,Lind,Gemeinde,DEB12,12.467634921344365,3300.5370204016244,3054.228287535824,4679.865924450053,11034.631232387503,11.034631232387502,885.0621069675705
07138075,Vettelschoß,Gemeinde,DEB18,7.028856076935496,3299.168430078837,3052.9618308192216,4677.925385932678,11030.055646830737,11.030055646830737,1569.2533075225122
01058113,Nienborstel,Gemeinde,DEF0B,16.370545272254677,3298.1433323464803,3052.013232917636,4676.471889147991,11026.628454412106,11.026628454412107,673.5651299960294
01059177,Weesby,Gemeinde,DEF0C,21.276945619756823,3297.8711966189835,3051.7614058265203,4676.086025056766,11025.71862750227,11.02571862750227,518.2002541410022
03351018,Nienhagen,Gemeinde,DE931,17.620553713513193,3297.657113385887,3051.5632989540986,4675.782474203862,11025.002886543847,11.025002886543847,625.6899224505515
09190135,Oberhausen,Gemeinde,DE21N,14.716231991965072,3296.9426811516537,3050.9021825582413,4674.769473274725,11022.614336984621,11.02261433698462,749.0106396122912
09375184,Pielenhofen,Gemeinde,DE238,14.867937545607461,3296.0896104024573,3050.1127738052605,4673.559895346771,11019.762279554488,11.019762279554488,741.1762556676957
03357010,Bülstedt,Gemeinde,DE937,25.65511851951366,3293.257260610839,3047.4917934010773,4669.543876985522,11010.292930997437,11.010292930997437,429.1655453714956
01051113,Wöhrden,Gemeinde,DEF05,21.930590899998784,3292.287224005864,3046.594147587519,4668.168451948617,11007.049823542,11.007049823542,501.9039329005317
09673174,Trappstadt,Gemeinde,DE266,25.868212005824294,3291.6777039778585,3046.0301141287646,4667.3042071327845,11005.012025239408,11.005012025239408,425.4260798064281
09778219,Woringen,Gemeinde,DE27C,17.67679197598481,3290.956532045113,3045.362760996965,4666.281649914704,11002.600942956782,11.002600942956782,622.4319977236031
12067520,Wendisch Rietz,Gemeinde,DE40C,24.974291526262284,3290.8458447740163,3045.2603339699817,4666.124705276585,11002.230884020584,11.002230884020584,440.5422621278741
12064130,Fichtenhöhe,Gemeinde,DE409,22.81852089516424,3288.98931179739,3043.542348230423,4663.4923077724225,10996.023967800234,10.996023967800234,481.8903038597274
01051049,Hennstedt,Gemeinde,DEF05,21.906399880301667,3288.655594313456,3043.233535036335,4663.0191262653525,10994.908255615144,10.994908255615144,501.90393290053174
03354024,Waddeweitz,Gemeinde,DE934,49.341036337036265,3288.6461385620064,3043.224784937977,4663.005718856578,10994.876642356561,10.99487664235656,222.83432733867429
09779224,Wallerstein,Gemeinde,DE27D,19.56467670102135,3288.6434011136134,3043.222251776779,4663.001837399903,10994.867490290295,10.994867490290295,561.9754242970098
13074057,Neukloster,Stadt,DE80M,27.425788042669137,3287.8862545298653,3042.5216086694304,4661.928271348321,10992.336134547615,10.992336134547616,400.80292742894756
09678130,Frankenwinheim,Gemeinde,DE26B,14.76629378499002,3285.563951498813,3040.372611834718,4658.635453617713,10984.572016951244,10.984572016951244,743.894993347423
07331026,Framersheim,Gemeinde,DEB3B,9.304842900840809,3283.78180718464,3038.723463364884,4656.108532575226,10978.61380312475,10.97861380312475,1179.881693879291
03360019,Schwienau,Gemeinde,DE93A,31.613157595837897,3283.318452999259,3038.294687850064,4655.451537834776,10977.064678684099,10.9770646786841,347.23088465320876
03159025,Obernfeld,Gemeinde,DE91C,10.721070478044615,3282.9503679485733,3037.95407183301,4654.929626195742,10975.834065977326,10.975834065977326,1023.7628871533336
03352024,Hollnseth,Gemeinde,DE932,20.918121687087048,3282.2809519169027,3037.334612221613,4653.980454210537,10973.596018349052,10.97359601834905,524.5975801509537
09572456,Geschaidt,Gemeindefreies Gebiet,DE257,8.468803835492997,3281.6136383993075,3036.717098220255,4653.0342634020035,10971.365000021564,10.971365000021564,1295.5034988578036
01051019,Dellstedt,Gemeinde,DEF05,21.85004740152669,3280.1957882481333,3035.4050577818575,4651.023878859298,10966.624724889289,10.96662472488929,501.9039329005317
13075085,Luckow,Gemeinde,DE80N,33.34784587167936,3279.898634184265,3035.130079394397,4650.602541007544,10965.631254586206,10.965631254586206,328.8257747376349
16070041,Osthausen-Wülfershausen,Gemeinde,DEG0F,14.73804453964458,3279.0378570250573,3034.3335393366265,4649.382036080315,10962.753432441998,10.962753432441998,743.840433033891
03158035,Winnigstedt,Gemeinde,DE91B,12.033422013466367,3278.623030923444,3033.9496704067624,4648.793849816813,10961.366551147019,10.96136655114702,910.9101749178553
09273181,Wildenberg,Gemeinde,DE226,17.988932509968123,3277.4720934677666,3032.8846238059946,4647.161923573702,10957.518640847462,10.957518640847463,609.1255628857145
12064417,Reichenow-Möglin,Gemeinde,DE409,22.723125054303978,3275.2392575138183,3030.818417400849,4643.995962146462,10950.05363706113,10.95005363706113,481.89030385972745
13072021,Cammin,Gemeinde,DE80K,32.25786790303046,3274.3091000433565,3029.9576746669863,4642.677082151028,10946.943856861371,10.946943856861372,339.3573279476714
09278154,Neukirchen,Gemeinde,DE22B,24.40471720467774,3274.0409268348876,3029.7095143845136,4642.296836556916,10946.047277776317,10.946047277776318,448.521783144377
09372135,Hohenwarth,Gemeinde,DE235,24.256938256135168,3273.219744535719,3028.949614346483,4641.132473595418,10943.30183247762,10.943301832477621,451.14110102950826
03357014,Farven,Gemeinde,DE937,25.498703690319932,3273.1788395535496,3028.9117619749295,4641.074473993844,10943.165075522322,10.943165075522321,429.1655453714956
07138014,Dürrholz,Gemeinde,DEB18,6.971571466552754,3272.280473342282,3028.080438018231,4639.800671156966,10940.16158251748,10.94016158251748,1569.2533075225122
03355031,Reppenstedt,Gemeinde,DE935,14.740048321074454,3272.2299964518593,3028.033728059932,4639.729099446669,10939.99282395846,10.93999282395846,742.1951804809963
09475137,Issigau,Gemeinde,DE249,18.595779855509768,3272.211775896981,3028.016867247946,4639.70326433153,10939.931907476455,10.939931907476454,588.3018616309898
13073038,Gustow,Gemeinde,DE80L,28.686728734919434,3272.123875083734,3027.9355261968904,4639.578628850074,10939.638030130698,10.939638030130698,381.34839741466334
01053027,Elmenhorst,Gemeinde,DEF06,13.126097479074772,3271.258884743215,3027.135087374316,4638.352150009032,10936.746122126564,10.936746122126564,833.2062244365924
07339002,Aspisheim,Gemeinde,DEB3J,5.819659979433248,3270.733558772344,3026.648964834107,4637.607284826455,10934.989808432905,10.934989808432904,1878.9740031337394
09275148,Sonnen,Gemeinde,DE228,16.288326991280027,3268.9694803157563,3025.0165340235376,4635.105979552195,10929.091993891489,10.929091993891488,670.9769517607542
09479147,Schirnding,Gemeinde,DE24D,16.60389456433476,3268.7858338094497,3024.846592480398,4634.845585252223,10928.47801154207,10.92847801154207,658.1876299682419
09276143,Teisnach,Gemeinde,DE229,25.434331702528656,3267.998009612178,3024.117561133649,4633.728521091881,10925.844091837707,10.925844091837707,429.57071644825135
01057065,Rantzau,Gemeinde,DEF0A,16.919186714721736,3267.3864198683045,3023.5516124154456,4632.861341604313,10923.799373888063,10.923799373888063,645.6456541367345
09778120,Boos,Gemeinde,DE27C,17.55008316182432,3267.3666634651318,3023.5333303707134,4632.833328793835,10923.73332262968,10.92373332262968,622.4319977236031
16076003,Bad Köstritz,Stadt,DEG0L,16.76641049355473,3267.1130026382593,3023.298599456306,4632.473660457243,10922.885262551807,10.922885262551807,651.4742834639969
