bus_id,capacity_mw,plant_count,carrier
34845.0,106.06107300000008,4440,solar
34846.0,26.35991600000002,2499,solar
34847.0,11.959047000000002,1117,solar
34849.0,26.791397999999987,3237,solar
34850.0,26.15824499999999,1275,solar
34851.0,13.115715999999988,1184,solar
34852.0,1.3623740000000002,118,solar
34853.0,6.3460969999999985,127,solar
34854.0,3.7592269999999983,510,solar
34856.0,5.527199999999999,417,solar
34858.0,13.285566999999993,1541,solar
34859.0,2.4235019999999996,76,solar
34860.0,14.611231000000014,853,solar
34861.0,1.5770040000000005,349,solar
34863.0,4.421905000000001,997,solar
34864.0,35.203407999999996,2347,solar
34865.0,19.249350000000042,1150,solar
34866.0,7.215771000000001,507,solar
34867.0,16.29202900000001,1614,solar
34872.0,1.516155,123,solar
34876.0,12.140993999999992,1505,solar
34881.0,12.145699999999993,1287,solar
34882.0,14.610971000000006,1118,solar
34883.0,18.345849000000054,2180,solar
34884.0,19.470282000000008,2373,solar
34885.0,1.4948960000000004,127,solar
34886.0,6.5113010000000004,863,solar
34890.0,33.941092000000005,2397,solar
34891.0,3.034784,227,solar
34893.0,9.091894000000002,885,solar
34895.0,18.255903999999997,2005,solar
34897.0,15.245574000000023,1151,solar
34898.0,10.380284,650,solar
34899.0,5.761748999999996,753,solar
34900.0,2.6082099999999997,219,solar
34902.0,0.7789500000000001,68,solar
34903.0,5.987519999999999,885,solar
34904.0,14.013660999999995,2056,solar
34905.0,32.62316600000002,1485,solar
34906.0,21.802019000000005,1641,solar
34907.0,56.96704300000003,4519,solar
34908.0,21.613092999999996,1435,solar
34912.0,26.33675599999999,2133,solar
34913.0,18.216364000000002,985,solar
34915.0,11.587437999999986,1100,solar
34918.0,36.67721300000004,3764,solar
34919.0,22.455210000000015,2416,solar
34920.0,15.828272999999992,2055,solar
34922.0,23.027341000000007,2299,solar
34925.0,13.66489,1045,solar
34928.0,9.74456,1060,solar
34931.0,6.1489649999999925,1013,solar
34933.0,21.130472000000044,2157,solar
34935.0,7.388181000000001,919,solar
34936.0,3.0869520000000006,366,solar
34937.0,9.736156999999999,1157,solar
34943.0,17.817701,1801,solar
34944.0,38.87084300000003,2737,solar
34945.0,10.833053999999997,982,solar
34947.0,21.383064000000005,2022,solar
34949.0,14.497595000000004,1181,solar
34952.0,20.562532000000044,1901,solar
34953.0,26.437287000000012,1755,solar
34957.0,23.517149000000007,1233,solar
34960.0,72.67864300000001,4188,solar
34962.0,2.5550390000000007,203,solar
34963.0,3.5406029999999973,604,solar
34969.0,22.15173100000005,1781,solar
34970.0,19.874719,1141,solar
34971.0,18.210842999999986,2790,solar
34973.0,2.650293,292,solar
34974.0,14.91166400000002,1524,solar
34975.0,31.44674900000005,2795,solar
34977.0,9.359470999999994,1179,solar
34979.0,12.586349000000002,814,solar
34981.0,17.436273,1585,solar
34983.0,23.460447000000002,2508,solar
34984.0,28.936314000000017,2478,solar
34985.0,8.079846999999996,1060,solar
34986.0,19.639453000000003,1726,solar
34988.0,7.121438999999999,789,solar
34990.0,15.583228999999998,1935,solar
34991.0,7.963475999999997,915,solar
34992.0,17.412336999999987,2095,solar
34993.0,19.196011000000002,2585,solar
34994.0,2.912373,437,solar
34995.0,14.027673000000009,998,solar
34996.0,14.625102999999992,2099,solar
34998.0,21.837075000000002,2719,solar
35000.0,17.053153000000016,614,solar
35001.0,39.75222900000004,3050,solar
35002.0,7.216966999999995,730,solar
35005.0,27.942120999999986,2498,solar
35009.0,15.191173,1624,solar
35010.0,5.032956999999998,532,solar
35011.0,31.806010999999987,3009,solar
35012.0,16.595469000000016,1225,solar
35013.0,29.656986,1178,solar
35014.0,2.3008169999999994,298,solar
35015.0,24.304734000000035,2505,solar
35016.0,49.03099099999985,4770,solar
35017.0,51.853382,1781,solar
35020.0,16.265012999999996,635,solar
35021.0,11.927127000000008,709,solar
35024.0,4.392923999999997,479,solar
35027.0,25.170359000000026,3156,solar
35028.0,17.831844999999994,2140,solar
35029.0,21.596691,1184,solar
35031.0,26.566394000000003,1978,solar
35033.0,2.290844,281,solar
35035.0,19.496834999999997,1831,solar
35037.0,50.631560999999984,2035,solar
35039.0,20.46538600000001,634,solar
35040.0,127.17502800000003,3721,solar
35041.0,109.94600299999995,4208,solar
35042.0,35.85156400000001,794,solar
35044.0,99.473873,4693,solar
35045.0,29.311707,2093,solar
35049.0,10.541922000000003,1286,solar
35051.0,68.1889,3863,solar
35052.0,32.27960700000001,2274,solar
35054.0,43.936775000000004,2934,solar
35055.0,6.950376999999995,1163,solar
35058.0,3.868549,328,solar
35059.0,28.844821000000007,1874,solar
35060.0,9.629555999999997,1086,solar
35062.0,24.509684000000057,2307,solar
35063.0,22.445466999999994,1644,solar
35068.0,3.364956,311,solar
35069.0,21.51704600000003,1551,solar
35070.0,57.94873799999996,1819,solar
35071.0,119.24534299999996,5169,solar
35074.0,46.775580000000005,1705,solar
35075.0,24.036588999999992,2410,solar
35077.0,3.2361429999999998,211,solar
35078.0,7.443842000000002,876,solar
35079.0,1.3930940000000005,180,solar
35081.0,1.736804,286,solar
35082.0,6.282603999999999,659,solar
35085.0,3.5424059999999966,550,solar
35087.0,1.61562,337,solar
35088.0,9.278645999999997,932,solar
35090.0,13.343996999999998,1129,solar
35091.0,18.772062,1808,solar
35092.0,37.195607,2353,solar
35093.0,12.390713,1152,solar
35094.0,82.26537099999989,2873,solar
35097.0,67.43807100000004,3031,solar
35099.0,17.671097000000046,1974,solar
35100.0,56.43030700000001,2304,solar
35103.0,7.849868999999999,661,solar
35105.0,15.91323100000001,1272,solar
35109.0,58.13752999999991,3298,solar
35111.0,5.752385,696,solar
35112.0,10.637994000000004,290,solar
35114.0,23.11404000000003,1593,solar
35119.0,20.99134400000003,2156,solar
35120.0,8.058957999999995,815,solar
35121.0,3.9454249999999984,494,solar
35122.0,19.510623000000002,1474,solar
35123.0,5.247238,516,solar
35124.0,7.002589999999991,1004,solar
35125.0,5.576836,1319,solar
35126.0,19.66682699999999,2007,solar
35127.0,18.873321,2576,solar
35128.0,46.79211599999999,1350,solar
35129.0,23.333414000000005,1206,solar
35131.0,5.19891299999999,943,solar
35133.0,17.852638000000002,942,solar
35137.0,17.523371000000044,2050,solar
35138.0,63.450298000000004,2330,solar
35139.0,16.298766,345,solar
35140.0,50.37187400000002,2469,solar
35143.0,22.367340999999996,1743,solar
35145.0,10.359288000000001,929,solar
35147.0,10.404562000000013,787,solar
35150.0,17.337459999999997,1793,solar
35151.0,17.897576000000004,1966,solar
35153.0,13.777607999999994,1628,solar
35154.0,8.181512999999999,933,solar
35156.0,78.784348,3081,solar
35157.0,29.20533499999999,3117,solar
35158.0,33.460028000000044,3161,solar
35160.0,4.7742939999999985,524,solar
35162.0,14.281647000000003,883,solar
35164.0,1.415125,105,solar
35165.0,13.827904000000014,1542,solar
35167.0,14.407132999999988,624,solar
35169.0,6.825101,486,solar
