line_id,bus0,bus1,r,x,s_nom,length,carrier,num_parallel,b,g,v_nom,s_nom_extendable,s_nom_min,s_nom_max,s_max_pu,build_year,lifetime,capital_cost,cables,terrain_factor,v_ang_min,v_ang_max,type,geom,topo
33138,1256,1253,0.2690694006,2.4151621999999997,3580.0,19.20469727603953,AC,1.0,2.2523527801075006e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33139,14568,35152,0.08607785080000001,0.772632416,3580.0,6.132905496319385,AC,1.0,8.36125545468157e-06,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33140,1256,1260,0.57183439679992,5.13277453199911,3580.0,45.44276768525943,AC,1.0,0.00010819440217784677,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33141,40168,39445,0.0493972184,0.2660327408,925.0,2.818983061481451,AC,1.0,3.79319677981869e-05,0.0,380.0,True,925.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33142,3829,3820,0.27463376049980004,0.7915470914991464,2080.0,10.056122486558428,AC,1.0,1.0755275348064412e-05,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33143,34862,15935,0.41886469,3.75972114,3580.0,29.862125689010647,AC,1.0,2.87839229613933e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33144,1267,36814,0.06665790232248447,0.5983197209845845,5370.0,7.366240290776634,AC,1.0,2.432895547929721e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33145,5369,5371,0.1280129104,1.149035564,3580.0,9.124357094026662,AC,1.0,1.6200118091090428e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33146,20228,39473,0.6491478781336422,5.666308168885059,1850.0,48.2132660822418,AC,1.0,1.6952143789638778e-05,0.0,380.0,True,1790.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
33147,35113,8967,0.188858494,0.54432818,1040.0,3.9901224187294764,AC,1.0,5.5522299954038005e-06,0.0,220.0,True,520.0,inf,1.0,0,inf,0.0,3,1.0,-inf,inf,,,
