egon_line_id,eic_code,jao_name,jao_length_km,path_hops,length_ratio,egon_trafo_id
33982.0,11T0-0000-0657-V,Y-Karnap (-Buescherhof - Rosenblumendelle) BUESHR W ,0.8904431046356157,1.0,1.054,
33575.0,11T0-0000-0838-Q,Y-Rosenblumendelle (-Buescherhof - Karnap) BUESHR W ,11.13984284039736,1.0,0.974,
31746.0,11T0-0000-0928-P,Brauweiler - Knapsack BURBAC O ,12.674139985555165,1.0,1.008,
33561.0,11T0-0000-0280-N,Y-Gersteinwerk (-Poeppingshausen - Ruhrzink) CAPPEN N ,29.968020578313773,3.0,0.989,
31759.0,11T0-0000-0280-N,Y-Gersteinwerk (-Poeppingshausen - Ruhrzink) CAPPEN N ,29.968020578313773,3.0,0.989,
882.0,11T0-0000-0280-N,Y-Gersteinwerk (-Poeppingshausen - Ruhrzink) CAPPEN N ,29.968020578313773,3.0,0.989,
12670.0,11T0-0000-0259-8,Y-Elmenhorst (-Poeppinghausen - Ruhrzink) ELMENH S ,10.39606618189119,3.0,0.935,
873.0,11T0-0000-0441-Q,Y-Poeppinghausen (-Gersteinwerk - Ruhrzink) CAPPEN N ,7.763231616598316,1.0,0.882,
12675.0,11T0-0000-0442-N,Y-Poeppinghausen (-Elmenhorst - Ruhrzink) ELMENH S ,7.704382900878283,1.0,0.889,
874.0,11T0-0000-0464-9,Y-Ruhrzink (-Gersteinwerk - Poeppinghausen) CAPPEN N ,1.7441522919967596,1.0,0.956,
12672.0,11T0-0000-0465-6,Y-Ruhrzink (-Elmenhorst - Poeppinghausen) ELMENH S ,1.7441522919967596,1.0,0.956,
1813.0,11T0-0000-0259-8,Y-Elmenhorst (-Poeppinghausen - Ruhrzink) ELMENH S ,10.39606618189119,3.0,0.935,
13336.0,11T0-0000-0282-H,Elmenhorst - Gersteinwerk CAPPEN S ,27.699752437019946,3.0,0.986,
31891.0,11T0-0000-0282-H,Elmenhorst - Gersteinwerk CAPPEN S ,27.699752437019946,3.0,0.986,
33967.0,11T0-0000-0727-1,Datteln - Mengede DATTLN O ,9.97621371630069,2.0,0.929,
3046.0,11T0-0000-0729-W,Gersteinwerk - Mengede MENGED N ,34.728974720805326,6.0,0.931,
14150.0,11T0-0000-0733-9,Lippe - Mengede MENGED S ,10.353547114477047,2.0,0.905,
33610.0,11T0-0000-0706-C,Dauersberg - Linde DAURSB O ,73.85680573368353,1.0,0.948,
1196.0,11T0-0000-0632-H,Dauersberg - Halfeshof DAURSB W ,84.37167501186224,2.0,0.936,
12873.0,11T0-0000-0791-S,Linde - Opladen LEICHL O ,28.45864699873656,2.0,0.892,
31847.0,11T0-0000-0382-C,Hamborn - Niederrhein DINSLK W,19.14795653640184,2.0,0.837,
34024.0,11T0-0000-0382-C,Hamborn - Niederrhein DINSLK W,19.14795653640184,2.0,0.837,
33148.0,11T0-0000-0963-O,Y-Hoheneck (-Herbertingen - Metzingen) sw,62.7,5.0,0.909,
33149.0,11T0-0000-0963-O,Y-Hoheneck (-Herbertingen - Metzingen) sw,62.7,5.0,0.909,
5286.0,11T0-0000-0963-O,Y-Hoheneck (-Herbertingen - Metzingen) sw,62.7,5.0,0.909,
8495.0,11TD400000528-LC,Endersbach - Wendlingen bl,20.3,4.0,0.934,
5287.0,11TD400000600-LB,Buenzwangen - Laichingen gn,48.1,2.0,0.94,
15533.0,11T0-0000-0957-G,Y-Hoheneck (-Dellmensingen - Voehringen) DONAU O ,98.78351537827191,5.0,0.956,
5292.0,11TD400000526-LK,Dellmensingen - Laichingen ws,23.3,1.0,1.026,
15540.0,11T0-0000-0957-G,Y-Hoheneck (-Dellmensingen - Voehringen) DONAU O ,98.78351537827191,5.0,0.956,
34202.0,11T0-0000-0956-J,Y-Voehringen (-Dellmensingen - Hoheneck) DONAU O ,17.136443537945325,2.0,0.965,
33126.0,11T0-0000-0625-C,Gundelfingen - Voehringen GUENZ N ,46.301485591378615,4.0,0.987,
4945.0,11T0-0000-0956-J,Y-Voehringen (-Dellmensingen - Hoheneck) DONAU O ,17.136443537945325,2.0,0.965,
15052.0,11T-D4-D7-00005O,Dellmensingen - Voehringen DONAU W     ,8.397242244840518,2.0,1.97,
5585.0,11T0-0000-0996-3,Y-St. Huelfe (-Ohlensehlen - Wehrendorf) DUEMM S1 ,15.649196583559046,1.0,0.763,
33314.0,11T0-0000-0978-5,Y-Wehrendorf (-Ohlensehlen - St. Huelfe) DUEMM S1 ,21.216852281744348,1.0,0.996,
31930.0,11T0-0000-1115-Z,Y-Ohlensehlen (-St. Huelfe - Wehrendorf) DUEMM S1    ,20.59887529519151,1.0,2.03,
33583.0,11T0-0000-0413-W,Duennwald - Opladen DUENNW O ,9.980755584833869,1.0,0.694,
1702.0,11T0-0000-0651-C,Eiberg - Huellen HUELLN W ,11.447691011399147,3.0,0.868,
2229.0,11T0-0000-0647-Z,Eiberg - Hattingen WEITMR W ,24.83060607356457,4.0,0.974,
33740.0,11T0-0000-0654-3,Eiberg - Karnap EIBERG N ,14.45086568133972,2.0,0.924,
6588.0,11T0-0000-0121-C,Y-Altenkleusheim (-Eiserfeld - Setzer Wiese) EISERF ,7.338297365956287,1.0,0.981,
31984.0,11T0-0000-0248-F,Y-Eiserfeld (-Altenkleusheim - Setzerwiese) EISERF ,17.094297146341617,1.0,0.985,
31982.0,11T0-0000-1377-W,Y-Setzer Wiese (-Altenkleusheim - Eiserfeld) EISERF ,5.832486470097135,1.0,0.996,
34050.0,11T0-0000-1673-T,Diefflen - Uchtelfangen ELLBCH N ,22.161631761973183,3.0,0.959,
8180.0,11T0-0000-1673-T,Diefflen - Uchtelfangen ELLBCH N ,22.161631761973183,3.0,0.959,
8353.0,11T0-0000-0218-R,Y-Diefflen (-Ensdorf - Uchtelfangen) ENSDF S ,4.931173911662335,2.0,0.889,
8357.0,11T0-0000-1673-T,Diefflen - Uchtelfangen ELLBCH N ,22.161631761973183,3.0,0.959,
17731.0,11T0-0000-0511-X,Y-Uchtelfangen (-Diefflen - Ensdorf) ENSDF S ,22.59382541492454,1.0,0.747,
13220.0,11T0-0000-0253-Q,Eller - Opladen ELLER O,25.85694020262224,3.0,0.829,
13452.0,11T0-0000-0495-V,Eller - St. Peter ELLER W ,16.050046816847242,3.0,0.956,
33669.0,11T0-0000-0253-Q,Eller - Opladen ELLER O,25.85694020262224,3.0,0.829,
13223.0,11T0-0000-0253-Q,Eller - Opladen ELLER O,25.85694020262224,3.0,0.829,
13455.0,11T0-0000-0243-U,Eiberg - Garenfeld HERDEK N,46.17059717324737,6.0,2.596,
33668.0,11T0-0000-0495-V,Eller - St. Peter ELLER W ,16.050046816847242,3.0,0.956,
34018.0,11T0-0000-0495-V,Eller - St. Peter ELLER W ,16.050046816847242,3.0,0.956,
31433.0,11T0-0000-0259-8,Y-Elmenhorst (-Poeppinghausen - Ruhrzink) ELMENH S ,10.39606618189119,3.0,0.935,
34145.0,11T0-0000-0207-Y,Buescherhof - Hamborn EMSHER N ,10.39905244778177,1.0,0.719,
33629.0,11T-D2-D7-00002F,Hanekenfaehr - Doerpen/W EWBL,73.05039586943188,5.0,1.087,
