line_id,bus0,bus1,length,s_nom,v_nom,cables,bus0_x,bus0_y,bus1_x,bus1_y
10192,39069,37806,0.18458470556125578,280,110,3,10.977695205921943,52.17031388577443,10.97975384124878,52.169496016934495
10369,38840,38347,0.17031731755566337,260,110,3,12.24029679075353,51.64588222106179,12.24063451541846,51.6461423365302
12188,38377,1793,2.41339492186552,260,110,3,12.143226479682095,54.06519152530718,12.173346100000002,54.054785200000005
12751,2411,36840,0.5512391866526739,260,110,3,6.9153108,51.1248872,6.920547774037106,51.12212478565385
12866,38944,39616,0.24839141517342303,260,110,3,7.167772543382838,51.41973506961077,7.167398762797334,51.42165069392082
13054,36559,39433,0.38009017534597556,260,110,3,12.188222024444782,53.81134802824029,12.185635251441242,53.813691035460806
13056,36559,39433,0.38906929427589004,260,110,3,12.188222024444782,53.81134802824029,12.185635251441242,53.813691035460806
13327,3208,35357,0.4723265451144071,260,110,3,6.902312200000001,50.8486468,6.899738376290186,50.84398078791553
13562,3584,35199,3.6887189018157414,260,110,3,7.008628000000001,50.652700900000006,7.04554072334715,50.63142152219886
13640,3810,3809,0.5930761815176643,260,110,3,6.5808518000000005,51.1101164,6.586962000000001,51.1138222
13846,38680,39478,0.1075107146397389,260,110,3,7.208260196085748,51.561345468616175,7.208431433814025,51.5613300791263
13874,34928,34930,0.27030143583171623,260,110,3,6.569989726549341,51.049032103693534,6.56840704127158,51.047356325699184
14329,5527,37896,0.3123967515385235,260,110,3,11.8554289,47.808381700000005,11.852765764323005,47.80626791517863
14423,5678,5679,3.8316384282706233,260,110,3,6.843751,51.4951342,6.8989894000000005,51.495884
15375,35002,8095,1.5373477183193223,260,110,3,7.505982918763768,51.4016067641739,7.492766700000001,51.409551
15735,8847,8845,0.9996219796051893,260,110,3,6.401735100000001,51.1875233,6.389898700000001,51.192601
16432,10347,39765,2.5245941804214262,260,110,3,7.405874600000001,52.332660700000005,7.370535606806824,52.33984222038753
16718,36828,10334,0.6716127915482409,260,110,3,7.985069668433605,50.84222341097669,7.9772096,50.8358671
17555,34863,13777,1.142204170610048,260,110,3,10.101650397987918,53.57393177967404,10.108395,53.563997500000006
18357,15961,36811,2.6269578224423022,260,110,3,7.8261124,47.5673177,7.83856449692764,47.58623990526666
18487,37093,16198,0.3544050544012359,260,110,3,9.39783165,54.84239114999999,9.3973813,54.84113910000001
18687,37284,36811,4.392245010767858,260,110,3,7.802073109755481,47.57227396915207,7.83856449692764,47.58623990526666
20010,35931,35236,0.39618257052752104,520,110,6,11.826458057573072,48.335859395957,11.82408805,48.33920165000001
20425,36370,36371,0.08417555369081824,260,110,3,7.529459414078797,50.98079933492894,7.529537007367701,50.98132365452132
21143,38385,37910,1.3592191789671055,520,110,6,12.091112764972884,51.93275838961669,12.089717691272504,51.94642216038815
21144,39065,38385,0.1314371851680869,520,110,6,12.08898031722657,51.93182744986091,12.091112764972884,51.93275838961669
21517,37956,38791,1.248838472422839,560,110,6,12.02525521241903,51.31224303894958,12.014278116122709,51.314537251124655
21801,24323,38839,2.0855034001273856,560,110,6,9.1526664,47.649582800000005,9.15945814715132,47.663508906457984
22034,38889,36211,0.34805915554433553,280,110,3,13.307808173339591,52.52288637210212,13.306758661733918,52.52158806946724
22355,36212,36211,1.2809118451248258,280,110,3,13.299503102432642,52.514721504872455,13.306758661733918,52.52158806946724
22417,35329,4555,1.7722008620512137,260,110,3,6.685952054436086,51.218781699658784,6.666682600000001,51.229629900000006
22430,35728,35359,0.063436145354034,260,110,3,7.045632398254677,50.705771147745466,7.045064352005391,50.70565239558739
22929,38727,37295,0.20502549538737413,260,110,3,13.257350655898689,50.93010090034698,13.25554512389551,50.93018648933236
22978,38155,37376,3.4877917945026584,520,110,6,14.42912802206826,51.8132649622487,14.451150678356964,51.840084677510745
23190,35696,26952,0.5921301310768812,280,110,3,9.918175987686068,52.38000537591712,9.9239906,52.37926830000001
23412,38683,35268,0.5811469615783333,560,110,6,7.02802640282749,50.97958257103487,7.022470073114311,50.975965963915584
23545,35728,35359,0.08675617011434526,260,110,3,7.045632398254677,50.705771147745466,7.045064352005391,50.70565239558739
23547,35351,35680,0.06811859758089359,260,110,3,7.120291975095661,50.71423000298828,7.119782748954982,50.71414767444743
23949,38784,38120,1.6924852618278818,560,110,6,14.239119270424826,53.0876787673397,14.253160054077403,53.097752833970944
23950,36767,38785,1.1253374277312256,560,110,6,14.241180022150132,53.10629164329868,14.228283845498323,53.10174718481645
23951,38786,38784,1.0191594961148238,560,110,6,14.231075866838683,53.09344380683991,14.239119270424826,53.0876787673397
23973,38482,37471,0.6739359401541142,280,110,3,10.660553141125584,53.83600115836639,10.653853398027014,53.83909922774409
24289,36274,35497,0.16093055804000353,520,110,6,11.594349912944995,48.18907804756725,11.59294905129254,48.18861202980423
24540,35439,35337,2.3140593897873525,260,110,3,7.0243847195176174,51.29130836879023,7.052524732489485,51.287021357322
24938,38217,35420,0.22004461080320664,260,110,3,7.047235385557182,50.90437421158472,7.049715749348086,50.90372347441465
25331,36371,36370,0.10806720965112562,260,110,3,7.529537007367701,50.98132365452132,7.529459414078797,50.98079933492894
25335,39227,36636,0.9199185550950553,520,110,6,14.605081162477322,52.17408848395674,14.603510800000002,52.166058750000005
25636,35531,35708,4.2989973332275015,520,110,6,9.128635740397652,47.70118373297727,9.173702188368498,47.68303591521043
25655,38888,27267,0.6787990892118932,520,110,6,10.923742714545895,47.860982945464976,10.9166365,47.8573333
