class,line_id,bus0,bus1,v_nom,s_nom,length_km,x_ohm,peak_flow_MW,peak_loading,suggested_fix,gen_MW,peak_load_MW,evacuation_MW,n_duplicates,endpoint_has_trafo,pocket_n_buses,pocket_gen_MW,pocket_peak_load_MW,nearest_ehv_bus,nearest_ehv_kv,nearest_ehv_km
C_dummy_connector,28412,18876,39342,110.0,280.0,0.44043534522396394,0.05,2.5144131183624268,0.00898004685129438,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,9336,35763,16638,110.0,280.0,0.4312361457202088,0.05,2.3743581771850586,0.00847985063280378,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,18706,16638,35763,110.0,280.0,0.43944929240248587,0.05,2.3743581771850586,0.00847985063280378,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,5492,38695,9009,110.0,260.0,0.4079432323115352,0.05,2.1646223068237305,0.008325470410860502,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
C_dummy_connector,15774,9009,38695,110.0,260.0,0.4039690588103131,0.05,2.1646223068237305,0.008325470410860502,merge bus0+bus1 (same substation) or raise x to physical ≥0.05,,,,,,,,,,,
D_isolated_gen_load,,200001,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",1000.0,976.8348999023438,,,,,,,,,
D_isolated_gen_load,,200002,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",1400.0,952.4354248046875,,,,,,,,,
D_isolated_gen_load,,200003,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",600.0,394.0414733886719,,,,,,,,,
D_isolated_gen_load,,200104,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",200.0,0.0,,,,,,,,,
D_isolated_gen_load,,200105,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",608.46,0.0,,,,,,,,,
D_isolated_gen_load,,200107,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",3469.307975,0.0,,,,,,,,,
D_isolated_gen_load,,200108,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",121.095836,0.0,,,,,,,,,
D_isolated_gen_load,,200109,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",207.9,0.0,,,,,,,,,
D_isolated_gen_load,,200110,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",2077.5,0.0,,,,,,,,,
D_isolated_gen_load,,200111,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",196.35000000000002,0.0,,,,,,,,,
D_isolated_gen_load,,200112,,380.0,0.0,0.0,0.0,0.0,0.0,"connect to nearest same-voltage bus via short tie-line, OR move gen/load to the nearest connected bus",904.294,0.0,,,,,,,,,
