cluster_0,cluster_1,name_0,name_1,voltage_kv,egon_segments,egon_max_cables,egon_circuits,jao_single_hop,jao_multi_hop,jao_total_traversals,diff_vs_single,diff_vs_total,egon_length_km,cables_detail,sh_names,mh_names
osm_57727004,spatial_13586,Umspannanlage Leupolz,spatial_13586,220.0,1,3,1,0,0,0,,,81.8,[3],,
osm_57727004,spatial_38664,Umspannanlage Leupolz,spatial_38664,220.0,1,3,1,0,0,0,,,10.7,[3],,
osm_57727004,spatial_38972,Umspannanlage Leupolz,spatial_38972,220.0,2,3,1,0,0,0,,,51.9,"[3, 3]",,
osm_57727004,spatial_38973,Umspannanlage Leupolz,spatial_38973,380.0,1,3,1,1,0,1,0.0,0.0,26.7,[3],Leupolz - Woringen KEMPTE O ,
osm_59026005,osm_941805476,Umspannwerk Hagenwerder,Umspannwerk Schmölln,380.0,2,3,1,2,0,2,-1.0,-1.0,112.6,"[3, 3]",Hagenwerder - Schmölln 553; Hagenwerder - Schmölln 554,
osm_59026005,spatial_11831,Umspannwerk Hagenwerder,spatial_11831,380.0,2,3,1,0,0,0,,,4.5,"[3, 3]",,
osm_59707532,spatial_1476,Umspannwerk Perleberg,spatial_1476,380.0,1,3,1,0,2,2,,-1.0,10.7,[3],,Perleberg - Stendal/West 516; Putlitz/Süd - Perleberg - Putlitz 596
osm_59925390,spatial_2394,Station Karnap,spatial_2394,380.0,1,6,2,1,0,1,1.0,1.0,0.9,[6],Y-Karnap (-Buescherhof - Rosenblumendelle) BUESHR W ,
osm_59925390,spatial_3084,Station Karnap,spatial_3084,380.0,1,3,1,0,1,1,,0.0,10.0,[3],,Eiberg - Karnap EIBERG N 
osm_60032354,spatial_1556,Itzehoe/West,spatial_1556,220.0,1,3,1,0,2,2,,-1.0,12.0,[3],,Hamburg/N - Itzehoe/W rot; Brokdorf - Itzehoe/W gruen
osm_600395952,spatial_40373,Umspannanlage Lambsheim,spatial_40373,380.0,1,3,1,0,0,0,,,4.5,[3],,
osm_600395952,spatial_8504,Umspannanlage Lambsheim,spatial_8504,380.0,1,3,1,0,1,1,,0.0,12.5,[3],,Lambsheim - Weingarten LAMBSH W 
osm_603661085,spatial_38613,Umspannwerk Heide-West,spatial_38613,380.0,1,3,1,0,2,2,,-1.0,18.1,[3],,Suederdonn - Heide/W blau; Suederdonn - Heide/W gruen
osm_603661085,spatial_40376,Umspannwerk Heide-West,spatial_40376,380.0,1,6,2,0,2,2,,0.0,43.9,[6],,Heide/W - Husum/N weiss; Heide/W - Husum/N schwarz
osm_61918154,spatial_2078,Hanekenfähr,spatial_2078,380.0,2,3,1,0,8,8,,-7.0,0.6,"[3, 3]",,Hanekenfaehr - Westerkappeln BRAMGAU ; Gronau - Hanekenfaehr GRONAU W ; Hanekenfaehr - Meppen MEPPEN ; Y-Hanekenfaehr (-Kottigerhook - Kusenhorst) MUENST ; Hanekenfaehr - Wehrendorf NSACHS S ; Y-Hanekenfaehr (-Oechtel - Roxel) ROXEL O ; Y-Hanekenfaehr (-Gersteinwerk - Uentrop) UENTRO N ; Hanekenfaehr - Doerpen/W EWBL
osm_61918154,spatial_4606,Hanekenfähr,spatial_4606,220.0,2,3,1,0,1,1,,0.0,2.4,"[3, 3]",,Y-Hanekenfaehr (-Gronau - Kusenhorst) GRAFSH W 
osm_62061952,spatial_14679,Umspannwerk Frankfurt Südwest,spatial_14679,380.0,1,3,1,1,2,3,0.0,-2.0,5.0,[3],Y-Frankfurt/SW (-Frankfurt/SW - Karben - Kriftel) 2,Kriftel - Frankfurt TAUNUS 2    ; Frankfurt/SW - Karben 3
osm_62061952,spatial_40022,Umspannwerk Frankfurt Südwest,spatial_40022,380.0,1,3,1,0,0,0,,,0.7,[3],,
osm_62061952,spatial_40081,Umspannwerk Frankfurt Südwest,spatial_40081,380.0,1,3,1,0,0,0,,,1.1,[3],,
osm_63114179,spatial_2833,Station Hattingen,spatial_2833,220.0,2,3,1,0,2,2,,-1.0,3.0,"[3, 3]",,Hattingen - Laer LAER W ; Y-Hattingen (-Laer - Poeppinghausen) POEPPI O 
osm_63114179,spatial_3039,Station Hattingen,spatial_3039,220.0,2,3,1,0,0,0,,,8.6,"[3, 3]",,
osm_63114179,spatial_3540,Station Hattingen,spatial_3540,380.0,1,3,1,0,1,1,,0.0,17.4,[3],,Hattingen - Witten KEMNAD S 
osm_63114179,spatial_39002,Station Hattingen,spatial_39002,380.0,1,3,1,0,1,1,,0.0,13.2,[3],,Eiberg - Hattingen WEITMR W 
osm_63114179,spatial_4010,Station Hattingen,spatial_4010,220.0,1,3,1,1,0,1,0.0,0.0,5.4,[3],Y-Hattingen (-Bochum - Welper) WELPER O ,
osm_637595524,spatial_39182,Fedderwarden,spatial_39182,380.0,2,3,1,0,2,2,,-1.0,20.0,"[3, 3]",,Fedderwarden - Conneforde/O gruen; Fedderwarden - Conneforde/O gelb
