,mean_loading_pct,max_loading_pct,s_nom,v_nom
28487,0.2046391126602564,0.41022334615384615,260.0,110.0
28490,211.97723898809522,240.81457142857144,280.0,110.0
28494,11.135073244047618,33.436235714285715,280.0,110.0
28549,4.9295099118589745,9.828401153846155,260.0,110.0
28551,3.9591352908653845,8.910319807692307,520.0,110.0
28552,4.026957965544871,7.933948846153846,520.0,110.0
28553,3.0386237989583336,6.918010000000001,520.0,110.0
28554,2.8700434503205123,6.213366923076923,520.0,110.0
28561,4.022840264423077,5.811099230769231,520.0,110.0
28579,7.568186426282051,11.892637884615386,520.0,110.0
28594,0.0,0.0,260.0,110.0
28598,10.629703883928572,17.564598214285716,280.0,110.0
28599,12.816855580357142,17.386554464285712,560.0,110.0
28628,10.146861979166667,15.3302075,280.0,110.0
28648,18.73478846955128,26.91414076923077,260.0,110.0
28683,1.3263752677884615,2.8599936923076923,260.0,110.0
28684,1.8065048177884615,3.8952719230769226,260.0,110.0
28686,0.0,0.0,260.0,110.0
28703,1.1332745583333332,2.3947700000000003,520.0,110.0
28764,7.633732051282052,9.998538846153846,260.0,110.0
28783,6.559049006410256,8.50396653846154,260.0,110.0
33243,7.658050072115384,9.946057307692307,520.0,110.0
28784,26.73147431547619,53.63864642857143,280.0,110.0
28817,3.2799990651709403,4.926928076923077,780.0,110.0
28818,4.528929225961538,6.823234230769231,260.0,110.0
28819,2.1535160096153843,2.8589069230769226,260.0,110.0
28829,0.974597857142857,2.3428132142857145,280.0,110.0
28837,18.27526719551282,22.247123076923078,520.0,110.0
28842,2.9996119447115377,6.736555769230769,520.0,110.0
28843,2.389187462797619,3.6626217857142853,280.0,110.0
33244,28.355520651769087,61.51789944134079,3580.0,380.0
28877,35.572069342948716,70.48767692307692,260.0,110.0
28878,37.0865597275641,73.48870769230768,260.0,110.0
28931,33.71233435897436,46.65481538461538,260.0,110.0
28932,33.10173115384615,45.80979615384616,260.0,110.0
28939,5.8835077884615385,8.195258557692307,1040.0,110.0
28940,12.484318982371795,18.00720153846154,520.0,110.0
28951,2.8840137740384617,6.198591730769231,520.0,110.0
28952,9.47293337797619,11.700376785714285,280.0,110.0
28953,0.5165629464285714,1.1560107142857143,280.0,110.0
32958,0.0,0.0,925.0,380.0
28954,0.658705431547619,1.2058239285714285,280.0,110.0
28956,23.20292633928571,28.655837857142856,280.0,110.0
28957,0.2595930654761905,0.5081325,280.0,110.0
28960,3.6153899278846153,5.204498076923077,520.0,110.0
29004,50.78329539583333,80.29163846153847,260.0,110.0
29011,0.48773180104166663,0.6402402500000001,280.0,110.0
29012,0.5685720089285714,0.7463583214285714,280.0,110.0
29015,4.464132647275641,7.231095384615384,260.0,110.0
29016,4.072132542307692,6.596125384615386,260.0,110.0
29020,0.2775694642857143,0.8557692857142857,280.0,110.0
29027,3.4118855208333336,4.2303669230769225,520.0,110.0
29032,14.718150554487181,34.01801769230769,260.0,110.0
29033,16.507812256410258,38.154457307692304,260.0,110.0
29048,0.0,0.0,260.0,110.0
29050,0.0,0.0,260.0,110.0
29051,0.0,0.0,260.0,110.0
29067,3.8776640029761906,7.288930357142857,280.0,110.0
29068,26.193793883928567,36.371942857142855,280.0,110.0
29069,2.9020649851190474,4.587167142857143,280.0,110.0
29070,16.68375931547619,20.528125357142855,280.0,110.0
29071,28.278319806547625,36.90737142857143,280.0,110.0
29072,4.832308050595238,6.981194642857143,280.0,110.0
29074,10.438150401785714,15.408115357142856,280.0,110.0
29091,11.331954672619048,11.848417142857143,280.0,110.0
29097,23.960163354700853,37.00968717948718,780.0,110.0
29179,0.9666711373397435,2.516257076923077,260.0,110.0
29180,0.0,0.0,280.0,110.0
33245,3.279274102564102,4.708579230769231,520.0,110.0
29193,1.2665518241185898,3.3471415384615386,1040.0,110.0
29204,2.8969806426282054,5.552525769230769,520.0,110.0
29205,1.9147488347756412,5.115577307692308,520.0,110.0
29206,0.7082044531810897,2.8158365384615385,520.0,110.0
29207,4.161557432692308,6.803842692307692,260.0,110.0
29211,5.00928177724359,10.494977307692308,260.0,110.0
29212,1.5561402545673078,4.432571538461539,260.0,110.0
29214,1.1128095350480767,2.1680228461538458,260.0,110.0
29215,3.4919974807692307,4.984016153846154,260.0,110.0
29219,2.3353139198717945,3.851828076923077,520.0,110.0
29220,3.730027139423077,8.147112692307692,260.0,110.0
29253,3.1118155608974356,4.919155384615385,520.0,110.0
33246,4.311975208333333,6.187028461538461,520.0,110.0
29287,1.0128358573717948,1.4494840384615384,520.0,110.0
29334,0.0,0.0,260.0,110.0
29336,4.315521563988096,13.384516071428571,280.0,110.0
29358,1.154952548076923,2.0256621153846153,520.0,110.0
29393,5.868690625,8.356636538461538,520.0,110.0
29411,1.3494838782051282,3.0947253846153844,520.0,110.0
29442,3.31681540448718,9.372088846153845,260.0,110.0
29479,22.26961016025641,37.499663846153844,260.0,110.0
29500,19.024888660714286,23.613544642857143,560.0,110.0
29505,12.68305876602564,21.43630076923077,260.0,110.0
29506,0.0,0.0,260.0,110.0
29507,14.622751390224359,18.328375,1040.0,110.0
29508,0.5181057091346154,1.0390739423076925,1040.0,110.0
29531,49.49032991987179,61.36856153846153,260.0,110.0
29532,47.046236538461535,58.33785769230769,260.0,110.0
29536,2.075671266025641,4.747039230769231,260.0,110.0
33247,31.378815479515826,51.75769832402235,3580.0,380.0
29572,4.500342830128205,8.366095576923078,520.0,110.0
29580,3.728260319940476,18.9228125,560.0,110.0
29581,2.3223735007440474,17.246423749999998,560.0,110.0
29582,3.4433702232142855,12.64012607142857,560.0,110.0
29584,12.501781618589744,19.902409615384617,520.0,110.0
29628,8.194426875,11.674035,280.0,110.0
29629,6.455846602564102,8.623341730769232,520.0,110.0
29641,0.0,0.0,260.0,110.0
29648,0.0,0.0,260.0,110.0
29654,12.593136955128207,26.368189230769236,260.0,110.0
29655,18.052708286858973,35.66216615384615,260.0,110.0
29667,2.7083081089743595,5.720137884615385,520.0,110.0
29672,34.79512856060606,39.526523636363635,550.0,220.0
33248,22.895354487179485,29.66021153846154,520.0,110.0
29675,15.987445568910255,20.758471153846155,520.0,110.0
29676,16.031260721153846,20.772650000000002,520.0,110.0
29684,2.2937348557692308,6.050258076923076,520.0,110.0
29685,0.9991796314102563,2.355014230769231,520.0,110.0
29689,0.0,0.0,550.0,220.0
29690,7.181061368589744,11.038928461538463,520.0,110.0
29691,9.312276602564102,12.74078346153846,520.0,110.0
29693,34.79512856060606,39.526523636363635,550.0,220.0
29694,34.79512856060606,39.526523636363635,550.0,220.0
29696,4.348479539262821,7.047207500000001,520.0,110.0
29697,4.196701919070513,6.501438076923077,520.0,110.0
29699,0.817818141025641,1.3404046153846154,520.0,110.0
32959,17.649281473214288,22.06857857142857,280.0,110.0
29700,2.0828604967948716,3.3417788461538462,520.0,110.0
29704,1.2461856854967948,4.3902107692307695,260.0,110.0
29705,1.555111726442308,3.5268078461538463,260.0,110.0
29710,7.5393325297619045,9.649449642857142,280.0,110.0
29711,0.6742675892857143,1.2802278571428571,280.0,110.0
29713,3.9084077754006405,10.672929230769231,520.0,110.0
29720,2.2664500832532055,5.995169615384616,520.0,110.0
29721,2.1350787653125,5.651566346153847,520.0,110.0
29723,8.112114802884614,22.806509615384616,520.0,110.0
29724,9.626443349919873,23.487213461538463,520.0,110.0
29726,10.983937182692308,15.53600769230769,260.0,110.0
29727,10.861687310897437,15.809958076923078,260.0,110.0
29729,2.2335091666666664,6.1027603571428575,280.0,110.0
29730,0.06725693452380953,0.20735857142857145,280.0,110.0
33249,16.59897362980769,24.51030769230769,520.0,110.0
29734,2.86575709375,7.271877692307692,260.0,110.0
29735,21.085406778846153,24.078994615384616,260.0,110.0
29737,6.914048301282051,12.347705000000001,260.0,110.0
29738,20.27559358974359,33.151139230769225,260.0,110.0
29740,0.05097803571428572,0.15716928571428573,280.0,110.0
29741,0.0,0.0,280.0,110.0
29743,4.795907567307692,9.294493846153845,520.0,110.0
29745,65.77959345238095,82.026875,280.0,110.0
29746,65.74921473214285,81.93671785714287,280.0,110.0
29748,6.187876195072115,16.532875,520.0,110.0
29749,6.542809799198718,17.620067115384614,520.0,110.0
29751,18.336923541666668,40.04946538461539,260.0,110.0
29754,0.5068541025641026,1.4301238461538464,520.0,110.0
29949,29.201338012820514,36.24982769230769,260.0,110.0
29755,1.969352828525641,2.713006346153846,520.0,110.0
29757,4.171394018910256,12.656658846153848,260.0,110.0
29758,3.372226371794872,7.593409230769231,260.0,110.0
29761,9.298974352564104,13.050488461538462,260.0,110.0
29764,5.2754714583333335,9.22617576923077,260.0,110.0
29766,44.19418176282051,57.02847307692308,260.0,110.0
29767,31.503921538461537,40.59754615384615,260.0,110.0
29769,1.5638886904761904,2.884722857142857,280.0,110.0
29771,3.6914663653846156,8.099434038461538,520.0,110.0
29772,4.832190969551282,8.731660576923076,520.0,110.0
29800,2.291851219551282,4.009702692307692,260.0,110.0
29950,29.229223173076928,36.33258692307692,260.0,110.0
29775,1.6932249519230769,3.387169423076923,520.0,110.0
29776,3.2214778205128205,4.335640384615385,520.0,110.0
29778,3.7244553541666665,6.345049615384616,520.0,110.0
29779,1.7894025144230767,4.778914230769231,520.0,110.0
29782,0.1599209226190476,0.4200128571428572,280.0,110.0
29784,4.179500719391025,9.912773846153847,520.0,110.0
29790,5.47857612099359,12.3401,520.0,110.0
29791,7.797960621794871,14.528474615384615,520.0,110.0
29793,0.03911669642857143,0.12059999999999998,280.0,110.0
29795,2.745251641025641,5.171064615384615,260.0,110.0
33250,23.433460160256413,30.505092307692305,520.0,110.0
29801,5.995682932692308,9.40859576923077,260.0,110.0
29803,4.7024956217948715,7.232469999999999,260.0,110.0
29804,10.795464791666667,12.498328846153846,260.0,110.0
29807,0.7972527835096154,1.6450573846153849,260.0,110.0
29809,15.403351607142858,33.39826035714285,280.0,110.0
29810,15.462458720238095,33.44029785714286,280.0,110.0
29813,2.1965742833333333,5.005991923076923,520.0,110.0
29815,8.45112625,15.654593269230771,520.0,110.0
29816,3.255479137259615,8.588284807692308,520.0,110.0
29818,3.2895727083333335,4.536626057692308,1040.0,110.0
29819,3.280933133012821,4.510985,1040.0,110.0
29842,0.5118825892857143,0.897485,280.0,110.0
33251,23.97085730769231,32.20938653846154,520.0,110.0
29824,6.5052374839743585,11.077140384615385,260.0,110.0
29826,6.555849793269231,12.066988461538461,260.0,110.0
29827,8.051483679487179,16.520552692307692,260.0,110.0
29831,6.2379118189102565,8.98246173076923,520.0,110.0
29833,1.6820754255608976,4.625590961538462,520.0,110.0
29836,1.4336759743589742,2.075624423076923,260.0,110.0
29837,9.611170657051282,12.616111153846155,260.0,110.0
29839,8.146230208333334,10.983599615384616,260.0,110.0
29840,2.014608168269231,3.584764153846154,260.0,110.0
29843,9.777747724358974,13.228356153846155,520.0,110.0
