bus_id,carrier,n_units,is_aggregated,p_nom_mw,component
533.0,solar,585,True,6.036809,generator
534.0,biogas,1,True,0.06,generator
534.0,run_of_river,4,False,0.3226,generator
534.0,solar,707,True,5.6435815,generator
535.0,biogas,0,True,0.06,generator
535.0,onwind,1,False,0.25,generator
535.0,solar,1137,True,9.9797335,generator
538.0,biogas,2,True,0.2683333333333333,generator
538.0,biomass,1,True,1.6646666666666665,generator
538.0,onwind,14,False,41.7,generator
538.0,run_of_river,1,False,0.12,generator
538.0,solar,618,True,10.074583333333333,generator
543.0,biogas,2,True,0.2683333333333333,generator
543.0,biomass,0,True,1.6646666666666665,generator
543.0,onwind,23,False,31.7,generator
543.0,solar,618,True,10.074583333333333,generator
545.0,biogas,2,True,0.935,generator
545.0,onwind,12,False,26.8,generator
545.0,solar,260,True,15.2067695,generator
547.0,biogas,1,True,0.059515,generator
547.0,biomass,1,True,0.0915,generator
547.0,solar,326,True,7.5649285,generator
548.0,biogas,1,True,0.059515,generator
548.0,biomass,0,True,0.0915,generator
548.0,onwind,9,False,20.4,generator
548.0,solar,326,True,7.5649285,generator
551.0,biogas,1,True,0.059515,generator
551.0,biomass,0,True,0.0915,generator
551.0,gas,4,False,4.428,generator
551.0,onwind,2,False,4.7,generator
551.0,solar,326,True,7.5649285,generator
590.0,solar,235,True,2.732903,generator
592.0,biogas,13,True,5.684,generator
592.0,gas,1,False,2.106,generator
592.0,onwind,2,False,1.32,generator
592.0,solar,1759,True,35.325231,generator
614.0,biogas,0,True,0.0586,generator
614.0,gas,2,False,81.8,generator
614.0,solar,366,True,3.9044338000000005,generator
617.0,biogas,1,True,0.39,generator
617.0,solar,377,True,2.4760745,generator
619.0,biogas,1,True,0.944,generator
619.0,onwind,11,False,59.150000000000006,generator
619.0,solar,1475,True,10.830555,generator
647.0,solar,449,True,4.928597,generator
648.0,biogas,1,True,0.099,generator
648.0,onwind,9,False,5.3999999999999995,generator
648.0,solar,271,True,3.557784,generator
649.0,biogas,3,True,1.0445,generator
649.0,solar,566,True,4.4347104999999996,generator
650.0,biogas,1,True,0.4955,generator
650.0,solar,85,True,1.1015735,generator
672.0,biogas,2,True,0.5566666666666666,generator
672.0,onwind,6,False,9.85,generator
672.0,solar,300,True,5.0640659999999995,generator
673.0,biogas,1,True,0.098,generator
673.0,biomass,1,True,1.494,generator
673.0,onwind,18,False,65.29999999999998,generator
673.0,solar,172,True,2.6575044,generator
675.0,biogas,1,True,0.098,generator
675.0,biomass,0,True,1.494,generator
675.0,onwind,19,False,35.050000000000004,generator
675.0,solar,172,True,2.6575044,generator
676.0,biogas,1,True,0.098,generator
676.0,biomass,0,True,1.494,generator
676.0,solar,172,True,2.6575044,generator
677.0,biogas,1,True,0.098,generator
677.0,biomass,0,True,1.494,generator
677.0,onwind,8,False,27.2,generator
677.0,solar,172,True,2.6575044,generator
678.0,biogas,0,True,0.098,generator
678.0,biomass,0,True,1.494,generator
678.0,onwind,4,False,16.8,generator
678.0,solar,171,True,2.6575044,generator
680.0,solar,518,True,5.5770250500000005,generator
682.0,biogas,0,True,0.0125,generator
682.0,biomass,0,True,0.001325,generator
682.0,solar,659,True,9.06404125,generator
685.0,onwind,9,False,27.900000000000002,generator
685.0,solar,947,True,9.1133375,generator
687.0,biogas,2,True,0.8926000000000001,generator
687.0,gas,1,False,17.65,generator
687.0,onwind,13,False,27.14,generator
687.0,solar,1376,True,13.269474,generator
688.0,biogas,2,True,0.6575,generator
688.0,onwind,8,False,8.0,generator
688.0,solar,468,True,4.8937945,generator
689.0,biogas,2,True,0.6575,generator
689.0,solar,468,True,4.8937945,generator
704.0,biogas,7,True,2.6403333333333334,generator
704.0,solar,1029,True,10.727082666666668,generator
707.0,biogas,1,True,0.1965,generator
707.0,onwind,2,False,1.0,generator
707.0,solar,918,True,8.442697,generator
709.0,biogas,7,True,2.6403333333333334,generator
709.0,onwind,5,False,13.45,generator
709.0,solar,1029,True,10.727082666666668,generator
728.0,biogas,4,True,0.7600000000000001,generator
728.0,biomass,0,True,0.02266666666666667,generator
728.0,solar,306,True,10.278976,generator
746.0,biogas,2,True,0.3453333333333333,generator
746.0,onwind,2,False,5.0249999999999995,generator
746.0,solar,312,True,4.503679166666667,generator
749.0,biogas,1,True,0.3453333333333333,generator
749.0,solar,311,True,4.503679166666667,generator
767.0,biogas,2,True,0.47833333333333333,generator
767.0,biomass,1,True,0.016333333333333335,generator
767.0,onwind,10,False,25.599999999999998,generator
767.0,solar,1382,True,16.700873333333334,generator
768.0,biogas,1,True,0.74,generator
768.0,onwind,3,False,5.6,generator
768.0,solar,1580,True,11.720011,generator
772.0,biogas,2,True,0.47833333333333333,generator
772.0,biomass,0,True,0.016333333333333335,generator
772.0,onwind,10,False,25.5,generator
772.0,run_of_river,1,False,0.08,generator
772.0,solar,760,True,11.231267333333333,generator
773.0,biogas,9,True,4.542,generator
773.0,onwind,2,False,2.0,generator
773.0,solar,1780,True,15.470512,generator
800.0,biogas,5,True,0.86875,generator
800.0,solar,577,True,3.79080575,generator
802.0,biogas,2,True,1.636,generator
802.0,solar,174,True,3.2104508000000003,generator
803.0,biogas,2,True,1.636,generator
803.0,solar,174,True,3.2104508000000003,generator
804.0,solar,1125,True,6.808604,generator
806.0,biogas,4,True,0.86875,generator
806.0,solar,577,True,3.79080575,generator
807.0,biogas,4,True,0.86875,generator
807.0,solar,577,True,3.79080575,generator
815.0,biogas,1,True,0.016411764705882355,generator
815.0,biomass,1,True,0.21141176470588235,generator
815.0,onwind,2,False,3.6,generator
815.0,solar,404,True,5.775891588235294,generator
819.0,biogas,1,True,0.6522,generator
819.0,onwind,8,False,13.8,generator
