carrier,bus,gen_id,annual_dp_up_MWh,annual_dp_dn_MWh
onwind,1794,902,0.0,-0.0
onwind,1832,907,0.0,-0.0
onwind,1869,922,0.0,-0.0
onwind,1872,927,0.0,-0.0
onwind,1885,942,0.0,-0.0
onwind,1889,946,0.0,-0.0
onwind,1891,949,0.0,-0.0
onwind,1893,952,0.0,-0.0
onwind,1896,956,0.0,-0.0
onwind,1899,963,0.0,-0.0
onwind,1900,967,0.0,-0.0
onwind,1902,973,0.0,-0.0
onwind,1951,1008,0.0,-0.0
onwind,1952,1011,0.0,-0.0
onwind,1954,1014,0.0,-0.0
onwind,1956,1019,0.0,-0.0
onwind,1958,1022,0.0,-0.0
onwind,1972,1032,0.0,-0.0
onwind,1990,1052,0.0,-0.0
onwind,2014,1073,0.0,-0.0
onwind,2015,1076,0.0,-0.0
onwind,2016,1079,0.0,-0.0
onwind,2020,1082,0.0,-0.0
onwind,2027,1090,0.0,-0.0
onwind,2049,1109,0.0,-0.0
onwind,2053,1118,0.0,-0.0
onwind,2055,1124,0.0,-0.0
onwind,2075,1134,0.0,-0.0
onwind,2093,1144,0.0,-0.0
onwind,2094,1148,0.0,-0.0
onwind,2098,1155,0.0,-0.0
onwind,2101,1162,0.0,-0.0
onwind,2126,1174,0.0,-0.0
onwind,2139,1180,0.0,-0.0
onwind,2141,1183,0.0,-0.0
onwind,2148,1190,0.0,-0.0
onwind,2172,1195,0.0,-0.0
onwind,2173,1199,0.0,-0.0
onwind,2194,1215,0.0,-0.0
onwind,2244,1232,0.0,-0.0
onwind,2246,1235,0.0,-0.0
onwind,2250,1238,0.0,-0.0
onwind,2289,1249,0.0,-0.0
onwind,2298,1258,0.0,-0.0
onwind,2348,1277,0.0,-0.0
onwind,2353,1290,0.0,-0.0
onwind,2361,1298,0.0,-0.0
onwind,2364,1306,0.0,-0.0
onwind,2382,1310,0.0,-0.0
onwind,2383,1312,0.0,-0.0
onwind,2403,1315,0.0,-0.0
onwind,2404,1317,0.0,-0.0
onwind,2406,1321,0.0,-0.0
onwind,2477,1358,0.0,-0.0
onwind,2500,1364,0.0,-0.0
onwind,2507,1369,0.0,-0.0
onwind,2517,1377,0.0,-0.0
onwind,2577,1391,0.0,-0.0
onwind,2579,1393,0.0,-0.0
onwind,2582,1396,0.0,-0.0
onwind,2585,1402,0.0,-0.0
onwind,2586,1405,0.0,-0.0
onwind,2650,1445,0.0,-0.0
onwind,2661,1451,0.0,-0.0
onwind,2662,1456,0.0,-0.0
onwind,2663,1460,0.0,-0.0
onwind,2664,1465,0.0,-0.0
onwind,2668,1469,0.0,-0.0
onwind,2669,1472,0.0,-0.0
onwind,2695,1486,0.0,-0.0
onwind,2699,1490,0.0,-0.0
onwind,2700,1494,0.0,-0.0
onwind,2703,1498,0.0,-0.0
onwind,2704,1502,0.0,-0.0
onwind,2707,1504,0.0,-0.0
onwind,2753,1510,0.0,-0.0
onwind,2792,1520,0.0,-0.0
onwind,2811,1530,0.0,-0.0
onwind,2817,1541,0.0,-0.0
onwind,2823,1547,0.0,-0.0
onwind,2854,1562,0.0,-0.0
onwind,2871,1568,0.0,-0.0
onwind,2877,1584,0.0,-0.0
onwind,2884,1590,0.0,-0.0
onwind,2886,1593,0.0,-0.0
onwind,2889,1596,0.0,-0.0
onwind,3057,1622,0.0,-0.0
onwind,3058,1624,0.0,-0.0
onwind,3100,1627,0.0,-0.0
onwind,3106,1630,0.0,-0.0
onwind,3108,1633,0.0,-0.0
onwind,3157,1661,0.0,-0.0
onwind,3177,1665,0.0,-0.0
onwind,3184,1668,0.0,-0.0
onwind,3187,1671,0.0,-0.0
onwind,3188,1675,0.0,-0.0
onwind,3292,1705,0.0,-0.0
onwind,3341,1716,0.0,-0.0
onwind,3343,1719,0.0,-0.0
onwind,3353,1731,0.0,-0.0
onwind,3374,1736,0.0,-0.0
onwind,3406,1743,0.0,-0.0
onwind,3444,1755,0.0,-0.0
onwind,3465,1776,0.0,-0.0
onwind,3565,1793,0.0,-0.0
onwind,3566,1796,0.0,-0.0
onwind,3571,1800,0.0,-0.0
onwind,3628,1805,0.0,-0.0
onwind,3631,1809,0.0,-0.0
onwind,3635,1815,0.0,-0.0
onwind,3640,1827,0.0,-0.0
onwind,3767,1840,0.0,-0.0
onwind,3774,1846,0.0,-0.0
onwind,3812,1858,0.0,-0.0
onwind,3838,1862,0.0,-0.0
onwind,3839,1866,0.0,-0.0
onwind,3845,1871,0.0,-0.0
onwind,3889,1879,0.0,-0.0
onwind,3936,1883,0.0,-0.0
onwind,3941,1886,0.0,-0.0
onwind,3943,1890,0.0,-0.0
onwind,3944,1894,0.0,-0.0
onwind,3988,1901,0.0,-0.0
onwind,4059,1916,0.0,-0.0
onwind,4063,1923,0.0,-0.0
onwind,4064,1926,0.0,-0.0
onwind,4103,1929,0.0,-0.0
onwind,4171,1944,0.0,-0.0
onwind,4173,1947,0.0,-0.0
onwind,4199,1957,0.0,-0.0
onwind,4414,1972,0.0,-0.0
onwind,4415,1975,0.0,-0.0
onwind,4419,1979,0.0,-0.0
onwind,4442,1986,0.0,-0.0
onwind,4445,1989,0.0,-0.0
onwind,4448,1993,0.0,-0.0
onwind,4664,2031,0.0,-0.0
onwind,4729,2034,0.0,-0.0
