bid1,v1,bid2,v2,x1,y1,x2,y2,approx_dist_km,trafo_status
38117,110,38119,380,14.268638974984714,53.09783446837545,14.268638974984714,53.09783446837545,0.000,MISSING
36036,110,36038,380,9.885508871535515,48.30406967249351,9.885508871535515,48.30406967249351,0.000,MISSING
35895,110,35897,380,8.104639054942613,52.26510433428031,8.104639054942613,52.26510433428031,0.000,MISSING
36063,110,36065,380,10.11739845870108,48.89713778809889,10.11739845870108,48.89713778809889,0.000,MISSING
35227,110,35229,380,12.942934968142938,52.56249764066207,12.942934968142938,52.56249764066207,0.000,MISSING
39327,110,39329,380,9.250434911442971,53.11499931513949,9.250434911442971,53.11499931513949,0.000,MISSING
36666,110,36668,380,6.773210913026517,49.29108364341995,6.773210913026517,49.29108364341995,0.000,MISSING
34963,110,34965,380,6.715197472199203,51.52680805339451,6.715197472199203,51.52680805339451,0.000,MISSING
35021,110,35023,380,10.160303312667772,49.9891567500025,10.160303312667772,49.9891567500025,0.000,MISSING
35065,110,35067,380,6.926758989258765,51.49920569667793,6.926758989258765,51.49920569667793,0.000,MISSING
38971,110,38973,380,10.213738841470423,47.93872175518876,10.213738841470423,47.93872175518876,0.000,MISSING
39404,110,39406,380,7.172010930846214,51.55492198489481,7.172010930846214,51.55492198489481,0.000,MISSING
35006,110,35008,380,8.389618629206485,49.98247934596147,8.389618629206485,49.98247934596147,0.000,MISSING
35134,110,35136,380,9.190792677545476,48.91441508696246,9.190792677545476,48.91441508696246,0.000,MISSING
39345,110,39347,380,7.011600422827155,52.17763913797469,7.011600422827155,52.17763913797469,0.000,MISSING
35400,110,35402,380,7.179765081080847,51.5477933774321,7.179765081080847,51.5477933774321,0.000,MISSING
36392,110,36394,380,6.9964592026997074,49.37540332206004,6.9964592026997074,49.37540332206004,0.000,MISSING
35558,110,35560,380,9.64534106910629,47.74459749311034,9.64534106910629,47.74459749311034,0.000,MISSING
37758,110,37760,380,8.41937316081906,49.63371907557302,8.41937316081906,49.63371907557302,0.000,MISSING
37813,110,37815,380,6.47506298271469,49.92260878546448,6.47506298271469,49.92260878546448,0.000,MISSING
36165,110,36167,380,9.04543545075604,48.90296099705386,9.04543545075604,48.90296099705386,0.000,MISSING
35540,110,35542,380,10.083751340058903,48.26886749670415,10.083751340058903,48.26886749670415,0.000,MISSING
35574,110,35576,380,8.2588276632644,47.63420888668645,8.2588276632644,47.63420888668645,0.000,MISSING
36218,110,36220,380,8.673717359625044,49.29043940679095,8.673717359625044,49.29043940679095,0.000,MISSING
37352,110,37354,380,7.890386064217829,52.27794041517114,7.890386064217829,52.27794041517114,0.000,MISSING
39300,110,39302,380,9.852928400878314,51.64927355446412,9.852928400878314,51.64927355446412,0.000,MISSING
36077,110,36079,380,8.958708591309906,50.08260779176915,8.958708591309906,50.08260779176915,0.000,MISSING
37825,110,37827,380,7.729027530463336,49.48275269326087,7.729027530463336,49.48275269326087,0.000,MISSING
37540,110,37542,380,11.58137197036542,48.76489385387552,11.58137197036542,48.76489385387552,0.000,MISSING
35453,110,35455,380,7.725695780283424,52.27718649503925,7.725695780283424,52.27718649503925,0.000,MISSING
39264,110,39266,380,12.519533915607822,51.15742764266873,12.519533915607822,51.15742764266873,0.000,MISSING
34957,110,34959,380,6.680791090181257,51.64632662719794,6.680791090181257,51.64632662719794,0.000,MISSING
37455,110,37457,380,11.646043667505122,50.534326600156895,11.646043667505122,50.534326600156895,0.000,MISSING
37664,110,37666,380,8.588596425193431,49.81563371573577,8.588596425193431,49.81563371573577,0.000,MISSING
34842,110,34844,380,6.617199413011058,51.4758372811111,6.617199413011058,51.4758372811111,0.000,MISSING
34867,110,34869,380,8.435130722816417,50.05903583101519,8.435130722816417,50.05903583101519,0.000,MISSING
35390,110,35392,380,12.11438092678556,49.63110584983995,12.11438092678556,49.63110584983995,0.000,MISSING
35046,110,35048,380,11.50775232725622,48.761130610523466,11.50775232725622,48.761130610523466,0.000,MISSING
39282,110,39284,380,13.305765586233877,52.23079683634844,13.305765586233877,52.23079683634844,0.000,MISSING
37611,110,37613,380,9.091835332635767,49.29461883180298,9.091835332635767,49.29461883180298,0.000,MISSING
35071,110,35073,380,13.103168324093213,48.66682263363442,13.103168324093213,48.66682263363442,0.000,MISSING
35712,110,35714,380,8.307759802756838,52.34563594954145,8.307759802756838,52.34563594954145,0.000,MISSING
39440,110,39442,380,10.760835327266625,53.90974536547805,10.760835327266625,53.90974536547805,0.000,MISSING
35140,110,35142,380,8.702218487068027,51.736352600924384,8.702218487068027,51.736352600924384,0.000,MISSING
