bus_id,v_nom,x,y,country,line_count
39845,380,8.841217123069287,48.916959141320405,DE,2
39873,380,8.961535347447006,54.67674718893132,DE,2
39881,380,9.50133744687079,53.84788748999736,DE,2
39887,380,7.594584512910512,49.46611108299978,DE,2
39944,380,13.90620735942186,51.46933546506876,DE,2
39981,380,9.467056576578898,48.65453137066897,DE,2
39985,380,9.208833863523491,49.17423195892816,DE,2
39988,380,12.8308213,50.88552969926969,DE,2
39991,380,12.875167130359856,50.9161688843784,DE,2
40022,380,8.62687914933026,50.09528343300233,DE,2
40027,380,13.263791799999998,52.53599649908709,DE,2
40041,380,9.02548227428801,50.83745519502558,DE,2
40149,380,8.649682890826993,50.09799507174775,DE,2
