trafo_id,bus0,bus1,s_nom,t_x,t_r,v0,v1,bus0_x,bus0_y,bus1_x,bus1_y
31297,35035,35036,1300,0.12,0.003,110,380,10.664447302672334,49.98003850242095,10.664447302672334,49.98003850242095
31301,35683,35684,1560,0.12,0.003,110,380,8.403502360406838,52.609076012159576,8.403502360406838,52.609076012159576
31303,38628,38629,1790,0.12,0.003,110,380,8.894183914081816,52.56415396015578,8.894183914081816,52.56415396015578
31306,38615,38616,780,0.12,0.003,110,380,8.308325619494957,49.25702311233652,8.308325619494957,49.25702311233652
31307,35940,35941,2340,0.12,0.003,110,380,8.471763441204743,50.09732020188087,8.471763441204743,50.09732020188087
31308,34895,34896,1400,0.12,0.003,110,380,11.44077946539582,48.17180539178557,11.44077946539582,48.17180539178557
31309,39416,39417,3200,0.12,0.003,110,380,11.1950851186441,50.16245798450917,11.1950851186441,50.16245798450917
31310,36816,36817,260,0.12,0.003,110,380,10.391776094515746,48.51846091034118,10.391776094515746,48.51846091034118
31314,36457,36458,520,0.12,0.003,110,380,14.946482010310024,51.06257706569988,14.946482010310024,51.06257706569988
31315,36478,36479,3580,0.12,0.003,110,380,6.996068915585992,51.514169608305,6.996068915585992,51.514169608305
31316,36662,36663,260,0.12,0.003,110,380,7.54306143783747,51.453228088921314,7.54306143783747,51.453228088921314
31317,39393,39394,520,0.12,0.003,110,380,14.000013746932948,51.64032200260337,14.000013746932948,51.64032200260337
31319,36613,36614,520,0.12,0.003,110,380,10.802358019135408,53.89754740235389,10.802358019135408,53.89754740235389
31327,34910,34911,2160,0.12,0.003,110,380,13.469457177729073,52.52194787429576,13.469457177729073,52.52194787429576
31337,37770,37771,260,0.12,0.003,110,380,7.746792537377239,52.28851152401303,7.746792537377239,52.28851152401303
31349,39276,39277,1040,0.12,0.003,110,380,8.868321583057686,54.79472598932074,8.868321583057686,54.79472598932074
31353,38860,38861,1040,0.12,0.003,110,380,12.337422954113396,51.19696836412668,12.337422954113396,51.19696836412668
31354,38901,38902,260,0.12,0.003,110,380,13.263520371739556,52.99408435930024,13.263520371739556,52.99408435930024
31360,36146,36147,1820,0.12,0.003,110,380,9.850759391412176,51.64914224419812,9.850759391412176,51.64914224419812
31361,35117,35118,1560,0.12,0.003,110,380,9.151534803961765,49.14361821427335,9.151534803961765,49.14361821427335
31363,36066,36067,520,0.12,0.003,110,380,6.813684274912364,49.72483416686433,6.813684274912364,49.72483416686433
31365,36642,36643,260,0.12,0.003,110,380,12.851784078347348,48.763285409713,12.851784078347348,48.763285409713
30933,38672,38673,1560,0.12,0.003,110,380,9.10971052895473,53.97219445662381,9.10971052895473,53.97219445662381
30934,35586,35587,520,0.12,0.003,110,380,9.944479692842846,49.57833787043628,9.944479692842846,49.57833787043628
30936,36133,36134,3380,0.12,0.003,110,380,7.718581309704604,51.53421023069502,7.718581309704604,51.53421023069502
30938,37933,37934,4680,0.12,0.003,110,380,9.259408693957011,51.060624165291934,9.259408693957011,51.060624165291934
30942,35145,35146,1560,0.12,0.003,110,380,6.216193010895056,50.91236183485132,6.216193010895056,50.91236183485132
30943,36622,36623,2860,0.12,0.003,110,380,10.863761675309991,48.54682313334514,10.863761675309991,48.54682313334514
30945,39296,39297,260,0.12,0.003,110,380,10.386350947947534,51.00214825938572,10.386350947947534,51.00214825938572
30946,35029,35030,1560,0.12,0.003,110,380,11.193166069042071,50.16207719805994,11.193166069042071,50.16207719805994
30947,38796,38797,560,0.12,0.003,110,380,7.69254193516542,50.0262158453021,7.69254193516542,50.0262158453021
30948,34937,34938,1080,0.12,0.003,110,380,10.235863189815383,52.29345957007336,10.235863189815383,52.29345957007336
30949,39216,39217,520,0.12,0.003,110,380,13.49555751135716,52.58991278931928,13.49555751135716,52.58991278931928
30956,36124,36125,2080,0.12,0.003,110,380,8.211831858901517,51.17798961157128,8.211831858901517,51.17798961157128
30957,39262,39263,1820,0.12,0.003,110,380,12.261947564278712,51.74088636647456,12.261947564278712,51.74088636647456
30967,39292,39293,3680,0.12,0.003,110,380,9.38902645662256,52.0256892223463,9.38902645662256,52.0256892223463
30968,37970,37971,1040,0.12,0.003,110,380,13.38333376460052,51.35560749052296,13.38333376460052,51.35560749052296
30972,35524,35525,2600,0.12,0.003,110,380,9.2743138101123,48.54986298266464,9.2743138101123,48.54986298266464
30973,37681,37682,260,0.12,0.003,110,380,11.470685901389547,50.93012903334065,11.470685901389547,50.93012903334065
30978,35154,35155,1040,0.12,0.003,110,380,6.948210986686621,51.44457590187463,6.948210986686621,51.44457590187463
30981,38612,38613,1560,0.12,0.003,110,380,9.08737450906242,54.00357519373463,9.08737450906242,54.00357519373463
30984,39233,39234,1560,0.12,0.003,110,380,11.726902044990078,52.56955253168287,11.726902044990078,52.56955253168287
30985,38942,38943,2080,0.12,0.003,110,380,9.051183241890593,54.162187425794144,9.051183241890593,54.162187425794144
30991,35158,35159,3640,0.12,0.003,110,380,8.364229613135501,51.92712241754143,8.364229613135501,51.92712241754143
30994,39294,39295,1580,0.12,0.003,110,380,9.51486055389124,51.259120705222,9.51486055389124,51.259120705222
